标题,时间,详情页链接,正文
兰州第四轮大规模核酸检测累计排查阳性5例,2021-10-30 10:51:16,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F10%2F30%2FARTIqIwZknVqBl3v3GooaL6S211030.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,甘肃召开疫情防控新闻发布会。甘肃省兰州市副市长杨德智介绍，兰州市已全面完成第四轮大规模核酸检测。从日时起，个小时内完成了主城区第四轮大规模核酸检测，共采样万人，累计排查阳性例，于今日开展城关区七里河区安宁区第五轮大规模核酸检测。
杭州通报占某某关联人员核酸检测目前均为阴性,2021-11-02 12:30:36,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F02%2FARTIn1wVo6w3TRpSjwakToDu211102.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,"月日，通报占某某病例后，杭州市立即启动应急预案，开展流调溯源排查管控核酸检测等工作。现将有关情况通报如下

乘坐月日列车月日列车在杭州下车的在杭人员，已全部追踪到位纳入管控，已离杭的转相关省市排查。曾乘坐以上两趟列车流入杭州的人员已追踪到位纳入管控。同时，对月日日到过上海迪士尼近期组团前往病例居住地江西省铅山县旅行的返杭人员近期铅山县来杭人员，进行了追踪排查，分类纳管。

截至月日时，杭州市共排查纳管关联人员人，目前核酸检测结果均为阴性。"
海口云龙镇核酸检测今启第三轮核酸检测,2021-08-11 16:43:31,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F08%2F11%2FARTIOypeB7kRzhKW3gkwu5CO210811.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"今天月日下午，海南省海口市召开疫情防控新闻发布会，通报疫情防控最新情况和保供稳价工作，并答记者问。
静音全屏秒可在秒后跳过正在加载视频播放器。暂停播放视频暂停当前时间时长媒体流类型直播高清画质超清高清选择标清流畅静音全屏加载完毕画中画播放器容器，必填项播放器宽度，必填项播放器高度，必填项台名称，比如等，必填项视频生产中心，必填项设置默认码率可填必填项视频集视频页面，如文章文件路径视频来源可为空关键字用户中心相关，是否登录用户中心相关，用户登录是否默认从取图，非自动播放情况下才有效是否自动播放，只有为不自动播放，其它值为自动播放播放器前贴图片是否是音频播放器为表示是音频，表示是视频是否视频，是不是播放器的窗口模式，默认为播放器的窗口模式，默认为是否显示设置按钮，默认为播放器类型，表示播放器播放按钮是否在播放器左下角为表示是，表示播放按钮在播放器中间是否显示全屏按钮，默认表示显示语言，默认中文，表示英语
会上，海口市政府副市长龙卫东通报月日确诊病例林某某相关管控措施的情况。到月日晚，流调累计排查密接人员人，密接的密接人员人，均已集中隔离观察，目前检测结果均为阴性，隔离人员身体情况正常。
按照封控管理要求，安排在云龙镇开展第天全员核酸检测，目前第天的检测已完成，今日进行第三轮全员检测，若第三轮全员核酸检测结果均为阴性，可以解除封控区管理，转为警戒区管理天，设定流动检测点，加强流动核酸检测和居民健康监测。警戒区管理天后，无新增病例报告，则解除管理，云龙产业园封闭地区继续按照中风险地区管理，其余涉疫点位继续封闭管理。
总台记者马力叶飞钟华夏魏安"
日检测10万份核酸样本！这个“御兔号”有啥高招？,2021-11-14 06:51:23,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F14%2FARTIHRI6LfqtI8DTXStGd51X211114.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"新华社石家庄月日电记者李继伟日前，在河北省徐水经济开发区戴纳智造河北工业设备有限公司生产车间里，一辆标有御兔号的移动核酸检测车正在进行最后的组装调试，这辆移动核酸检测车将奔赴陕西，助力当地新冠肺炎疫情防控工作。
据悉，御兔号移动核酸检测车按照移动式实验室生物安全要求设计，在车载空间上设置了试剂准备间样本处理间扩增间洗消间，配备有核酸提取仪荧光扩增仪发电机，可同时开展核酸采样检测等工作，具备随到随检机动灵活设施完备的特点，最高可实现日混检万份样本。
专业人员介绍，在当前新冠肺炎疫情防控常态化情况下，御兔号能实现对重点街道小区就近检测。如果有大规模的全员核酸检测时，御兔号可直接开到采样地点，就地进行核酸采样检测，大大缩短因样本运输所等待的时间，为突发公共卫生事件应急处置提供技术保障，极大提高核酸检测能力和应对突发疫情的处置水平。"
额济纳旗将开展第十轮全员核酸检测,2021-11-07 17:44:44,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F07%2FARTIhh6rx2fumZCVtB5Gh3Wj211107.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"据中国额济纳公众号消息，根据疫情防控工作有关要求，为坚决迅速阻断传播渠道，确保广大居民的健康安全，经额济纳旗新冠肺炎防控工作指挥部研究决定，月日至月日，在额济纳旗全旗境内及策克口岸开展第十轮全员核酸检测工作。具体通告如下
一采样时间年月日
二采样范围额济纳旗境内及策克口岸所有人员包括驻军警部队人员。"
铅山县第二轮大规模核酸检测结果均为阴性,2021-11-02 12:24:32,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F02%2FARTI0Ew99WxMylr6lrIM7tny211102.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,据江西发布消息，截至月日点，铅山县第二轮大规模核酸检测共收集到份样品，已全部检测完毕，检测结果均为阴性，完成第二轮大规模核酸检测任务。
北京顺义通报2例新冠核酸阳性人员活动轨迹,2021-11-02 14:16:11,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F02%2FARTIfqHp3GPFZdVCJo0xkMI4211102.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"关于对新冠核酸阳性人员在顺义区活动及采取防疫措施情况的通报

广大市民朋友

年月日时，顺义区接到市疾控中心通报，居住在昌平区的名人员核酸检测呈阳性，其活动轨迹涉及顺义区双河大街北京汽车产业研发基地及途经顺义区的部分公交车辆。

人员汽车产业研发基地名工作人员，居住地为昌平区天通苑。月日日曾两次到顺义区医院针灸，日作为次密被集中隔离，日解除隔离，期间核酸检测均为阴性。日搭乘私车往返公司上班，月日上午自驾到顺义区西田各庄村车站送人，月日月日居家。

顺义区接报后迅速启动应急响应，连夜作战，第一时间对相关区域进行临时管控。对区医院针灸点临时管控，落实流调消杀等措施，初步研判风险较低。对北汽大楼及宿舍人开展核酸检测，结果均为阴性采集环境样本件，其中件阴性，其他样本结果待出。连夜开展流调工作，紧急对密接次密接人员高风险人员全面排查追踪管控。截至目前，已从严判定密接人次密接人，均已落实管控措施。


人员由居住地昌平区往返平谷区，乘坐公交车顺路路路路在顺义区转乘。

月日，在顺义区后沙峪镇泗上村车站乘坐顺路公交车到达南法信车站下车，转乘路公交车，在平谷官庄路口下车。

月日从平谷官庄路口乘坐路公交车，到达顺义区南法信车站，转乘路公交车到铁匠营车站下车，转乘路公交车前往天通苑住处。

顺义区严格落实各项管控措施，相关单位公交车公交车站已完成终末消毒。截至目前，已从严判定密接人次密接人，核酸检测结果为阴性，采集环境样本件，结果均为阴性。相关流调正在持续进行，后续工作进展将及时通报。

在此提示广大市民朋友，如您与上述人行程一致有时空重合，请及时向所在社区居委会村委会单位报告，不要外出，按要求做好隔离核酸检测等防控措施。同时做好自我健康监测，一旦出现发热干咳乏力等症状，要立即到就近的发热门诊就诊，并主动告知天活动轨迹和接触史，就诊过程中全程佩戴口罩，不乘坐公共交通工具。

顺义区疾控中心电话。

顺义新型冠状病毒肺炎疫情防控工作领导小组办公室

年月日"
大连新增1例本土核酸阳性，市民非必要不离连,2021-11-04 11:28:06,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F04%2FARTI4aAJWsvxypUGjRQXki13211104.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,据大连发布消息，月日，大连庄河市报告例新冠肺炎本土核酸检测阳性感染者。为保障广大市民的生命安全和身体健康，从即时起，广大市民非必要不离连，确需离连需持小时内核酸检测阴性证明，并向社区和单位报备。
兰州市30日起开展第五轮大规模核酸检测,2021-10-30 03:29:09,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F10%2F30%2FARTIHnE9RJiKuTmTHtTKbUL1211030.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"为筑牢疫情防控堡垒，保障人民生命安全和身体健康，按照兰州市要求，兰州市城关区安宁区等主城区定于月日起开展第五轮大规模核酸检测。
据介绍，此轮核酸检测将按照街道通知的时间段和采集点有序开展核酸检测，前往检测时，要携带街道发放的通知单身份证和手机查验健康码，并做好个人防护群众按照街道社区的安排，统一跟随楼院长有序前往采集点进行核酸检测，做到整楼带出整楼带回。
对不参加本轮全员核酸检测的居民，甘肃健康码将一律标记为黄码，并承担相应责任。对于行动不便人员，社区村将组织上门采样，确保全员覆盖。总台记者柴世文"
河北省辛集市居民就地隔离 全员核酸检测,2021-11-01 09:06:12,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F01%2FARTIy9BW0WRc2Vnw0dvqETc5211101.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"央视网消息记者徐辉月日，河北省辛集市疫情防控指挥部发布紧急通告，全市居民就地隔离，全员核酸检测。
鉴于我市当前疫情防控形势，为保障人民群众身体健康，有效控制和降低新冠疫情传播扩散风险，现将有关事项通告如下
一全市居民要密切关注疫情发展动态，严格遵守市疫情防控指挥部各项防控要求，请大家就地隔离，居家做好防护。
二全市居民要服从疫情防控大局，服从乡镇社区管控规定，从早点开始进行采样至晚点全部完成，全体进行核酸检测，齐心协力，抗击疫情。
三如有发热干咳乏力嗅觉和味觉减退鼻塞流涕咽痛结膜炎肌痛腹泻等新冠肺炎相关症状的患者到市第一医院工业路发热门诊筛查，中途不要乘坐公共交通工具，并向就诊医疗机构如实报告旅居史和接触史，排除新冠肺炎可能后，方可到其他医疗机构诊治。
四全市居民一律取消聚餐聚会活动，提倡红事停办白事简办宴会不办。
五请大家不造谣不信谣不传谣，做好个人防护，积极接种疫苗，养成常通风勤洗手戴口罩等良好生活习惯。
辛集市疫情防控指挥部
年月日
"
河北深泽县第五轮全员核酸检测全部阴性,2021-11-07 13:59:59,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F07%2FARTImAmw4blK8vFWV2BLUGx5211107.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,月日下午到日时，深泽县第五轮全员核酸检测共检测人，结果全部为阴性。
广州扩大核酸检测排查范围 海珠区全员核酸检测正在进行,2021-05-31 17:53:11,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F05%2F31%2FARTIah5S6gGxJTeGvVfjmP2L210531.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"静音全屏秒可在秒后跳过正在加载视频播放器。播放播放视频播放当前时间时长媒体流类型直播画质静音全屏加载完毕画中画
央视网消息据广东广州市卫生健康委通报，昨天月日，广州市新增本土确诊病例例，其中例为无症状感染者转为确诊病例。连日来，广州市实行分级分类疫情防控措施，扩大核酸检测排查范围。此前，广州市发布通告，从今晚点起，对离穗车辆和人员加强管理。


总台记者王志达我现在所在的位置是位于广州市海珠区的海珠体育中心核酸检测现场。广州市海珠区体育中心核酸检测现场，市民有序排队等待检测月日起至月日，广州越秀区海珠区开展全员核酸检测广州市将扩大核酸检测范围至天河区白云区番禺区的重点区域广州已检测本土确诊病例感染者基因测序结果高度同源，均为在印度发现的新冠病毒变异株。此外，广州加强离穗车辆和人员管理，需持小时内核酸检测阴性证明。为了保障货运的畅通，对于大货车司机，广州市设置了很多核酸检测的地点，为货车司机进行行免费的核酸检测。静音全屏秒可在秒后跳过正在加载视频播放器。播放播放视频播放当前时间时长媒体流类型直播画质静音全屏加载完毕画中画
目前，广州市海珠区正在对全区户籍人口常住居民等进行第一轮全员核酸检测，预计将于明天月日完成。天气又闷又热，在当地多个检测点，街道医务等工作人员持续坚守，引导居民快速完成核酸检测。

测温扫码登记有序排队，上午点多，核酸检测工作开始。这个点由广州市红十字会医院以及海幢街社区卫生服务中心负责，当天领队的护士长郑莉斯曾经支援过湖北荆州。

检测现场设置了绿色通道，对孕妇老人等特殊群体提供一对一帮助，优先检测。同时坚守一线的还有多名街道志愿者，不断为居民提供服务。"
广州扩大核酸检测排查范围 海珠区全员核酸检测正在进行,2021-05-31 17:53:11,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F05%2F31%2FARTIah5S6gGxJTeGvVfjmP2L210531.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,"静音全屏秒可在秒后跳过正在加载视频播放器。播放播放视频播放当前时间时长媒体流类型直播画质静音全屏加载完毕画中画
央视网消息据广东广州市卫生健康委通报，昨天月日，广州市新增本土确诊病例例，其中例为无症状感染者转为确诊病例。连日来，广州市实行分级分类疫情防控措施，扩大核酸检测排查范围。此前，广州市发布通告，从今晚点起，对离穗车辆和人员加强管理。


总台记者王志达我现在所在的位置是位于广州市海珠区的海珠体育中心核酸检测现场。广州市海珠区体育中心核酸检测现场，市民有序排队等待检测月日起至月日，广州越秀区海珠区开展全员核酸检测广州市将扩大核酸检测范围至天河区白云区番禺区的重点区域广州已检测本土确诊病例感染者基因测序结果高度同源，均为在印度发现的新冠病毒变异株。此外，广州加强离穗车辆和人员管理，需持小时内核酸检测阴性证明。为了保障货运的畅通，对于大货车司机，广州市设置了很多核酸检测的地点，为货车司机进行行免费的核酸检测。静音全屏秒可在秒后跳过正在加载视频播放器。播放播放视频播放当前时间时长媒体流类型直播画质静音全屏加载完毕画中画
目前，广州市海珠区正在对全区户籍人口常住居民等进行第一轮全员核酸检测，预计将于明天月日完成。天气又闷又热，在当地多个检测点，街道医务等工作人员持续坚守，引导居民快速完成核酸检测。

测温扫码登记有序排队，上午点多，核酸检测工作开始。这个点由广州市红十字会医院以及海幢街社区卫生服务中心负责，当天领队的护士长郑莉斯曾经支援过湖北荆州。

检测现场设置了绿色通道，对孕妇老人等特殊群体提供一对一帮助，优先检测。同时坚守一线的还有多名街道志愿者，不断为居民提供服务。"
江西柴桑区完成局部区域114380人核酸检测 检测结果均阴性,2021-11-03 15:13:26,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F03%2FARTIWsBACsfh2BVIZlSOgLm3211103.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,"抗击新冠肺炎江西柴桑区完成局部区域人核酸检测检测结果均阴性
中新网南昌月日电记者吴鹏泉江西省九江市柴桑区新冠肺炎疫情防控应急指挥部日发布消息称，当地完成局部区域人核酸检测，检测结果均为阴性。
月日，一名自江西铅山县来柴桑区人员核酸检测阳性，系铅山县葛仙村度假区工作人员，为铅山县新冠肺炎确诊病例同事。
据江西省卫健委此前通报，月日时，江西报告新增本地确诊病例关联病例例，新增无症状感染者例，均与铅山突发疫情相关联。
其中，新增确诊病例吴某某，现住九江市柴桑区八里湖，为铅山县确诊病例林某某的密切接触者。月日从铅山乘车返回九江。月日经核酸检测复核为阳性，吴某某行程轨迹与林某某高度重合，综合流行病史临床表现实验室检测和影像学检查等结果，诊断为铅山县确诊病例的关联病例，临床分型为轻型。
九江市柴桑区新冠肺炎疫情防控应急指挥部称，月日时，柴桑区启动局部区域人员核酸检测，至日时，小时内柴桑区共完成核酸采样人，检测结果均为阴性。"
西宁今日新增1名核酸检测阳性人员，系确诊病例密接,2021-11-03 11:52:19,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F03%2FARTISYc3EbPpKiIqVysxZpyD211103.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,"青海发布微信公众号消息，西宁市新冠肺炎疫情防控处置工作指挥部通报，月日凌晨，西宁市新增名新冠肺炎病毒核酸检测阳性人员。现将相关事项通告如下
梁某某核酸检测阳性人员号，女，岁，现住城北区朝阳西路鼎安名城号楼，系本土确诊病例号王某某的密切接触者，是在集中隔离医学观察期间每日例行核酸检测中发现的阳性人员，已转运至定点医院隔离治疗。
目前，已对该新冠肺炎病毒核酸检测阳性人员开展相关流行病学调查实验室检测密切接触者追踪管控等工作。"
福建莆田发现一例境外返莆核酸检测阳性人员,2021-11-05 17:50:06,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F05%2FARTIVK4lSyp5pElrndQiTAwk211105.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,"据莆田卫健委网站消息，年月日，莆田市按照境外返莆人员健康管理要求，开展定期例行核酸检测中发现例核酸检测呈阳性人员。莆田市立即启动应急机制，开展流行病学调查密切接触者排查相关场所全面消毒等工作。现将有关情况通报如下
董某某，女，岁，中国籍。月日从美国乘航班于日入境厦门，入关后即进行集中医学观察，月日解除隔离期间核酸检测均为阴性后，由专车点对点接回莆进行集中医学观察。入住隔离点后月日日日日核酸检测均为阴性，月日晚核酸检测阳性。目前，董某某已转定点医院进行隔离救治，情况平稳。经排查，该病例无密接人员，涉及场所均已开展终末消毒。
下一步，莆田市将严格落实各项防控措施，及时发布相关信息，请广大居民朋友不信谣不传谣不造谣，时刻保持个人防护意识，戴口罩勤洗手常通风，保持安全社交距离，配合有关部门做好各项防控工作，尽早接种新冠病毒疫苗。"
郑州荥阳发现3例核酸阳性人员 相关区域实行分类管理,2021-11-03 06:22:33,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F03%2FARTIkztankNYCKzpvNUdXj1u211103.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,"月日晚，郑州在例行核酸检测中发现例阳性人员，为切实保障人民群众生命安全和身体健康，快速有效阻断扩散，依据相关法律法规和疫情防控有关规定，经专家组综合研判，现就荥阳市贾峪镇区域实行分类管理的工作通告如下
一对以下区域实行封控区管理
荥阳市马米线以南环城南路以北五龙路以东绕城高速以西区域荥阳市洞林水岸小学。
封控区内全体人员实行区域封闭足不出户服务上门管理措施，按照疫情防控相关规定进行核酸检测。
二对以下区域实行管控区管理
荥阳市贾峪镇全域。
管控区内全体人员实行人不出区严禁聚集管理措施，按照疫情防控相关规定进行核酸检测。每户每天可以安排人在严格做好个人防护的前提下，到社区村指定地点购买生活物资。暂时关闭辖区内经营性场所和棋牌室活动室等非生活必需的文体休闲娱乐场所。
三封控区管控区要严格落实属地责任行业监管责任，做好辖区内群众的生活保障情感抚慰和心理疏导工作，注重解决残疾人独居老人外出就医等人群的特殊需求。
四封控区管控区内居民要自觉落实上述管控措施，积极配合核酸检测健康监测等工作，不得擅自外出，避免疫情传播风险。
五荥阳市辖区内所有聚集性活动停止举办，企事业单位提倡线上办公，暂停堂食。荥阳市辖区内人员非必要不离荥，确需离荥的，须持有小时内核酸检测阴性证明。
以上措施，将依据核酸检测情况以及疫情风险评估结果动态调整。封控管控管理期间，希望大家对出行和日常生活带来的不便给予理解支持和配合。
本通告自发布之日起执行。"
“做没做核酸？”没有人能拒绝志愿者的可爱喊话,2021-11-12 20:53:36,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F12%2FARTIJVxV4kCewwLZQ0iDD3HC211112.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,
哈尔滨第二轮核酸检测开始 未参加第一轮核酸检测人员健康码调整为“黄码”,2021-09-25 09:46:28,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F09%2F25%2FARTIDdlUrujsLvbtXcS1AjEY210925.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,央视网消息据哈尔滨发布微博消息，哈尔滨市从日开始，进行第二轮核酸检测。市民积极配合，排队检测，秩序井然，心态平和。根据市指挥部第号公告要求，月日已对名未及时参加第一轮核酸检测人员的龙江健康码调整为黄码，请尚未进行核酸检测人员抓紧进行核酸检测。
海口市琼山区发现1例入境人员核酸检测阳性,2021-11-12 11:49:52,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F12%2FARTIGZKJfwuD5kgGnOjfrP5K211112.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,"据海口发布消息，月日晚，海口市对正在开展集中医学观察的名入境人员进行常规核酸检测时发现，其检测结果阳性。市指挥部立即启动应急处置工作，迅速组织流行病学调查，排查风险人员，并对风险场所进行消毒。目前，该人员已送至定点医院进行隔离医学观察，无异常症状，日重新采样检测结果为阴性。
该人员自述已完成两针次新冠疫苗接种，在荷兰期间曾于月日核酸检测阳性，无症状，自行居家隔离。月日之后多次核酸检测均为阴性。月日入境杭州，在杭州集中医学观察期间核酸检测结果均为阴性，月日解除医学观察，当天从杭州飞往海口，抵达后由机场专车转运至酒店集中医学观察。月日核酸检测结果为阴性，月日晚核酸检测结果为阳性，日核酸检测结果为阴性。"
南宁新增密切接触者5人，首次核酸阴性,2021-10-23 09:53:08,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F10%2F23%2FARTIa66vS9SGzCVVbdSOzjkM211023.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,"据健康南宁微信公众号消息，年月日时，南宁市无新增本地确诊病例疑似病例和无症状感染者。新增密切接触者人首次核酸阴性。
截至月日时，全市累计报告本地确诊病例例，累计治愈出院例。现有在治境外输入无症状感染者例密切接触者人在集中隔离观察中。"
11月2日西宁地区核酸检测结果已出均为阴性,2021-11-03 16:59:01,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F03%2FARTIz6VRF5TJZjaw2Y9Hlm4y211103.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D8,记者从市疫情防控处置工作指挥部了解到，月日，西宁地区共检测核酸样本人份其中，城西区全员核酸检测样本人份，检测结果均为阴性。
新疆霍尔果斯第三轮全员核酸检测结果均为阴性 第四轮全员核酸检测已启动,2021-10-07 19:21:20,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F10%2F07%2FARTIHiqgNJuwDorHcvlsPTz4211007.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D9,"央视网消息月日，新疆伊犁哈萨克自治州召开疫情防控新闻发布会。会上通报，月日时至时，新疆维吾尔自治区含新疆生产建设兵团无新增确诊病例新增无症状感染者例，为新疆生产建设兵团第四师可克达拉市团报告。截至月日时，新疆含兵团现有确诊病例例，为伊犁州霍尔果斯市病例无症状感染者例，其中，伊犁哈萨克自治州霍尔果斯市例，新疆生产建设兵团第四师可克达拉市团例。月日下午，伊犁州人民政府新闻办公室就霍尔果斯和新疆生产建设兵团第四师可克达拉市团疫情防控最新情况召开新闻发布会。
会上介绍，月日霍尔果斯市报告两例无症状感染者后，为坚决防止疫情扩散蔓延，伊犁州迅速启动应急预案，按照早发现早报告早隔离早治疗要求，及时开展全员核酸检测工作，科学调配采样人员，检测机构转运车辆，全力优化采运检匹配，伊犁州分别于月日和月日完成第一第二轮核酸检测，检测结果除月日霍尔果斯市已报告的一人阳性外其余均为阴性。月日霍尔果斯市已开始第三轮全员核酸检测，截至月日时全部结果均为阴性，目前霍尔果斯市已启动第四轮全员核酸检测工作。"
