标题,详情页链接,时间,正文
核酸检测这些事儿你知道吗?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7021572708991238663%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e78cd4a0eec4207e0302a41ffa6907e94dc4c44f4084c6c813dbed8f81a84153d7a258d99c0419de34286e125da38d0e66,2021/10/22,"目前，新冠肺炎疫情仍处于全球大流行状态，新冠肺炎疫情国内也偶有散发，从重点关注地返连的人员，需要按照疫情防控的规定进行筛查。那么问题来了。
核酸检测前要不要空腹？
核酸检测前虽然无禁水禁食的要求，但是核酸检测时要用咽拭子在咽后壁进行旋转取样，可能会引起咳嗽反射或者恶心反射，所以不要过多进食。另外餐后要漱口，避免食物残渣的影响。
还有哪些注意事项？
到医疗机构检测核酸的过程中要正确佩戴医用口罩，自觉保持米线距离。配合采样人员，张开嘴并充分暴露咽后壁。如果发出不能充分暴露咽后壁，不妨试一试舌根下压，发出的声音。采样结束后，要正确佩戴口罩并尽快离开核酸采样点，避免聚集。
标本进实验室后会经历什么？
标本接收和录入标本在严密包装下被取回实验室后，实验室人员首先喷洒酒精拆去标本外衣，然后要把标本信息录入电脑，也就是给它们上户口。
提取核酸病毒是肉眼不可见的，而且微量的标本也不容易检测到病毒核酸，所以要把它变多才能方便检测出来。提取的目的就是让病毒核酸变多。那些三级防护的大白要一管管地拧开盖子，戳上一支支枪头，吸上一管管标本，然后再打掉一支支枪头，然后拧上一管管盖子。
配置试剂有多少管标本就要配多少份试剂，试剂需要全手工分装，要做到完全零污染，严格精确操作。
加样提取好的核酸只需要加入进入试剂体系，大概是一滴水的十分之一。由于加样孔都是一模一样的孔，所以全程都需要全神贯注。
上机检测上机检测这个过程大概需要个小时左右，而且中途不能停下来添加新的标本，必须要等到本批次的标本扩增完成后才能进行下一批标本的扩增。
发出报告由于核酸检测结果要上传到国务院客户端，也就是关系到我们行程码的颜色，信息必须绝对准确，在发报告之前实验室人员会逐个核对标本信息，以免信息出现纰漏，影响您的出行。据市三院
来源大连晚报
声明此文版权归原作者所有，若有来源错误或者侵犯您的合法权益，您可通过邮箱与我们取得联系，我们将及时进行处理。邮箱地址"
怎样做核酸检测 您了解吗?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7023726211004105246%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e724c08490d3bd1080ec8d467adff6ca72aeedf5ada338fd8f5c61a0a3c8b8ed9796217b521e08feba2fc42d1d6fe2fc3b,2021/10/27,"直播日照月日讯开展核酸检测是疫情常态化防控落实要求的重要举措。如何开展核酸检测，可能很多人并不清楚。下面，就让我们到日照心脏病医院，现场了解核酸检测工作是怎样进行的。
日上午十点，记者见到了工作间隙轮班修整的日照心脏病医院检验科主管检验师徐冬雪，这几天，她和同事们一直坚守在核酸检测工作一线。
我们在第一时间把所有的库存清了一遍，看看缺多少，包括现在需要用到的采样的拭子采样器采样管还有检测试剂提取试剂，还有我们的仪器设备怎么样，现在状态怎么样，还有我们的人员需要调配，当时我们就已经全部通知到位了。徐冬雪介绍说。
日照心脏病医院开通小时核酸检测通道，为前来做核酸检测的市民服务。
徐冬雪说，从昨天开始，他们的核酸采样点就小时开始值班了，包括有夜班的，不管市民任何一个时间点过来采样都有人，实验室里面的核酸检测也是不停机地在运转，只要有标本就往上送，他们就开始做，保证让每一个人尽量小时之内能出报告。
来源日照网
声明本文已注明转载出处，如有侵权请联系我们删除！联系邮箱"
好奇心实验室 | 核酸究竟是什么?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6999879896218468895%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e714ebdbe8cb3a86798417f49e7c7f20e88098b49f8550a3afe5a8bef1c189b7947f127a89cb0b391f03d19726cefd5e28,2021/08/24,"来源交汇点新闻客户端
交汇点讯疫情期间，你核酸了没成为大家的口头禅。核酸是什么？核酸检测的原理是什么？科技周刊记者采访到南京医科大学生物化学与分子生物学系副主任陈园园为您解读。核酸广泛存在于动植物细胞微生物体内。陈园园介绍，核酸分为脱氧核糖核酸和核糖核酸两类，主要负责储存和传递遗传信息，是非常重要的生物大分子。每一种生物都有自己特异的或序列，这种唯一性，是目前临床工作中诊断微生物感染的重要手段。
构成核酸的基本单位是核苷酸，含三个组件一个含氮碱基一个戊糖和一个磷酸基团。若戊糖为核糖，则该核酸为核糖核酸，即若戊糖为脱氧核糖，则该核酸为脱氧核糖核酸，即。和的化学结构空间构象不同，导致二者具有不同的生物功能。陈园园说，具有经典的双螺旋结构，是绝大多数生物的遗传物质，在生物体的遗传变异中具有极其重要的作用。如父母的特征遗传给子女就是靠复制实现的。可以作为模板生成，在蛋白质合成过程中起着重要作用。形象地比喻，如果相当于生物的设计图，细胞则相当于建筑，根据不同设计图就可以进行不同的构建进而使细胞这一建筑具有不同的生物特性。
某些生物，如病毒逆转录病毒，这些病毒的遗传信息由携带。新冠病毒就是如此，它的遗传物质是单链，不稳定，容易产生变异。这种设计图无法直接对细胞建筑进行构建，因此，新冠病毒必须要入侵别人的建筑才能继续繁殖产生更多病毒。新冠病毒核酸检测就是通过检测受试者体内病毒含量较高部位鼻咽口腔等的分泌物中是否含有新冠病毒大军来判断受试者是否被感染。通过咽拭子采集到受试者口咽部的核酸样品，然后如何进行检测呢？病毒的量有时很少，核酸量很低，很难直接判断是否阳性。此时，采用方法。仪就像一台核酸复印机，可以将微量核酸进行扩增，并且通过引物探针的设计使得该复制只针对病毒核酸，而不被受试者自身核酸影响。同时复印过程中会产生荧光，扩增得到的核酸量越多，荧光就越强。咽拭子样品中如果存在新冠病毒核酸，最后的产物就会产生荧光，即为阳性。咽拭子样品中如果没有病毒核酸，就不会观察到荧光，即为阴性。新华日报交汇点记者蒋明睿制图谭心仪
本文来自交汇点新闻客户端，仅代表作者观点。全国党媒信息公共平台提供信息发布传播服务。
ID：jrtt"
核酸检测究竟是怎么回事，有效期是多长,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6841520596384219660%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e73077f71cc0409e793ab5083a8cd82b1f790154cf57cc619d697d631604e0af5635ee60812adcd1b7fb6474269ba54b9c,2021/11/21,"新冠肺炎疫情发生以来，核酸检测这一相对生僻的医学术语已经成了大家日常谈论的高频词。月日新发地出现聚集性疫情以来，本市对应检尽检人群，渐次开展核酸检测。按照愿检尽检原则，市民也可预约登记进行核酸检测。
那么为什么新冠病毒的检测需要用咽拭子核酸检测？这种检测方法的准确率有多高？今天，我们请北京佑安医院感染中心二科副主任医师李侗曾来为您详细解读。
为什么用核酸检测
常用的传染病化验检查包括微生物培养病毒分离核酸检测抗体检测等。微生物培养一般用于细菌检查。例如血液微生物培养可以发现血液中的细菌到底是链球菌还是金黄色葡萄球菌。咽拭子和呼吸道分泌物培养可以发现呼吸道感染了什么细菌。例如导致猩红热的链球菌就可以通过咽拭子培养明确诊断，导致细菌性痢疾的病原体志贺菌可以通过粪便培养来诊断。
对于病毒感染来说，虽然从标本中分离出病毒是最权威的确诊依据，但是病毒分离是比较危险的操作，需要在较高防护等级的实验室进行，一般的医疗机构不具备这样的条件，所以目前更多的是通过检测血液中是否有病毒的抗体来判断是否感染。例如甲肝乙肝丙肝艾滋病麻疹等传染病都是通过检测标本中是否有病毒抗体来协助诊断的。
抗体检测的优点是方便快捷，准确率也比较高，通常十几分钟到小时就可以出结果。但抗体检测的缺点是人感染病毒后往往需要一定时间才能产生抗体，从感染到能够检测到抗体的这段时间就是窗口期。例如乙肝丙肝艾滋病感染后需要至周才能产生抗体，新型冠状病毒感染后需要至少天以上才能检测到抗体免疫球蛋白，在感染早期发挥清除病毒的作用，一周以上才能检测到抗体免疫球蛋白，体内最重要的抗体。
核酸检测也是检测病毒的方法，它可以更早发现感染。现在临床中对乙肝丙肝艾滋病都开展了核酸检测，可以在抗体产生前检测到血液中是否存在病毒。而一些呼吸道疾病可以通过咽拭子或者呼吸道分泌物的核酸检测来判断是否感染，以及推测是否具有传染性。季节性流感禽流感冠状病毒感染等通过咽拭子检测可以方便地判断出上呼吸道是否存在病毒成份，从而判断被检测者是否属于感染者。
新冠病毒的核酸检测已经是比较成熟的检测方法了，只要在咽喉部位擦拭几秒钟就可以采集到标本。通过分析判断是否有新冠病毒的核酸成分，可以尽早发现感染者，甚至在感染者出现症状前就可以检测到阳性。感染者经过隔离治疗后咽拭子检测阴性说明病毒已经清除，不具有传染性了。目前两次咽拭子核酸检测阴性是确诊病例和无症状感染者解除隔离的标准之一。
咽拭子检测疼不疼
新冠病毒主要感染人的呼吸系统。下呼吸道检测需要采集患者深部痰液，采集起来非常困难，患者通常不容易接受。血液检测的准确率低，容易导致漏诊，不能用来筛查。咽拭子检测操作最简单，准确率高，漏诊率很低，因此咽拭子检测是目前广泛使用的检测方法。咽拭子阳性说明患者传染的可能性很大。
咽拭子有口咽拭子采样和鼻咽拭子采样两种方式。口咽拭子采样就是在咽喉部位用棉签涂擦，刷取咽喉部位上皮细胞的检测。受检测者只要放松心情，张口发出啊的声音就可以了，检测过程并没有创伤风险，是非常安全的检测。检测时可能会有恶心想要呕吐的不适感觉，不过这些不适症状通常只需要半分钟到两分钟左右就可以完全缓解了。鼻咽拭子采样是将一根细棉签深入鼻孔，从下鼻道深入抵达鼻咽后壁，然后捻转棉签取样。棉签进入鼻腔的深度约为鼻尖到耳垂的距离。
阴性结果的有效期是多久
咽拭子核酸检测最快小时出结果，但由于目前检测量非常大，受检测者通常在小时后收到检测报告。一旦发现咽拭子核酸检测阳性，实验室一般都会立刻复核一遍。如果仍为阳性，可以确认为受检测人员上呼吸道存在病毒核酸，如果受检测者还有发热咽痛咳嗽等症状，就可以诊断为确诊病例了。如果除了咽拭子核酸阳性，受检测者没有任何不适症状，就诊断为无症状感染者。无症状感染者也有传染性，所以同样需要到隔离点隔离。很多无症状感染者后来都变成了确诊患者。因此只要核酸检测结果阳性就需要隔离。而核酸检测为阴性的，一般机构认可的有效期是到天。检测为阴性的人员如果再次接触了新冠病毒肺炎的确诊病例疑似病例或者去了中高风险地区，则需要再次复查。
准确率有多高
目前还没有确切的大样本统计数据证明核酸检测的准确率，但影响准确率的因素比较多，例如检测试剂的质量水平受检测人员感染时间过早或者过晚都会降低准确率标本取材时受检测者配合情况配合度差可能导致标本没有取到位以及检验人员的操作熟练程度等。
如果核酸检测的各个环节都能准确无误，理想状态下核酸检测准确率可以达到以上。但是由于各种原因，会出现假阴性的结果。所谓假阴性，就是指受测试者确实是感染者，但是核酸检测结果却为阴性，这就是假阴性。随着技术水平提高，各个医疗机构的准确率都在迅速提高，假阴性率正在不断降低。
另外，对于和确诊病例疑似病例有过密切接触的人员，通常需要两次核酸检测才能排除。对于去过新冠病毒中高风险地区的人员，如果出现发热和呼吸道症状，一次核酸检测阴性存在假阴性可能，所以也需要两次核酸检测才能排除。除此之外，如果医生判断一次核酸检测阴性仍不能排除的，也需要再次检测核酸，有时候医生还会建议做胸部血常规化验和新冠病毒的血清抗体检测来判断是否感染。
延伸阅读
咽拭子核酸检测注意事项
为避免交叉感染，检测时请您排队并戴好口罩，间隔距离米以上。
咽拭子采集过程中可能导致恶心呕吐等不适，此为人体正常反应，通常两分钟左右就会自行缓解。咽拭子擦拭后如果感觉咽部不适，可以通过适当饮用温开水等方式改善。如果症状持续不缓解或者出现其他身体不适症状，请您及时就诊。
咽拭子检测需要张口配合。少数人有颞颌关节前脱位即下巴脱落风险，采集前可以适当练习一下张口活动，不要突然用力张口。如果张口确实困难，可以提前告知医护人员，改为经鼻检测鼻咽拭子，检测结果同样是准确可靠的。
采样前小时内尽量不要进食过多，不要吃油腻食物，不要过量饮酒，以免导致采样时恶心和呕吐。
有高血压心脑血管疾病癫痫精神类疾病的人员，采集过程中的不适感可能诱发原有基础疾病突然加重。
采集咽拭子是比较安全的无创的检测手段，但仍可能存在一些意外风险，希望您能理解并且配合医务人员的操作过程。
咽拭子核酸检测存在误差，目前的技术手段无法保证百分之百准确，检测结果将由医生根据您的具体情况解读。
检测后戴好口罩离开检测点，注意接收检测报告。如果报告结果为阳性，不要自行外出，可在家中做好防护和隔离，听从专业人员的指导或者在家中等待专业人员到家中处理。
来源北京日报客户端记者张品秋
编辑蔡文清
流程编辑王梦莹"
央视提醒:核酸检测前30分钟不要抽烟!还有这些风险必须避免…,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6997600576728990245%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e75612f4ab8fddf59c2db94a64670c59acb0009448297aacbad9a02f6df28c5d59e544ee56a3f8a6f6260cd0febb51094e,2021/08/18,"近期，我国多地出现新冠疫情，很多人都需要进行核酸检测。
在快速发现病毒感染者有效切断传播途径防止疫情扩散等方面，核酸检测都发挥了非常重要的作用。
最近几天，核酸检测前分钟不应抽烟引起了网友们的广泛关注。
有的人可能会有疑问这核酸检测测的是新冠病毒核酸，跟抽不抽烟有什么关系呢？抽烟真的会影响检测结果吗？
其实，核酸检测远比我们想象的要复杂，今天我们就来说一说。
为什么核酸检测前分钟不能吸烟？
核酸检测一般是通过口腔或者鼻腔，用拭子采集咽部的分泌物，来进行检测。就是通过放大上呼吸道样本来识别荧光信号以检测病毒是否存在。人感染新冠病毒小时左右，病毒核酸即可在人呼吸道上皮细胞内被发现。
影响新冠核酸检测结果的因素非常复杂。核酸检测前不让抽烟，是为了避免烟草中的有害物质影响到口腔或鼻腔环境，破坏表皮细胞的活性。特别在检测前半小时抽烟，反复吞吐动作可能造成病毒载量大幅减小。
如果吸烟者咽喉处的分泌物会增多，可能还伴有咳嗽吐痰等行为，会严重影响检测结果的准确性，可能出现假阴性的情况。
新冠肺炎可通过飞沫传播，吸烟者也是高危人群。吸烟传统烟草电子烟等会产生呼出的烟雾咳嗽或打喷嚏周围和污染表面含有新冠病毒气溶胶。
因此，吸烟对于主动吸烟者和被动吸烟者来说都是病毒的一种可能的传播方式。
更糟糕的是，理论上吸烟会使血管紧张素转换酶浓度上升，这是新冠病毒感染所需的细胞受体，吸烟导致促炎细胞因子和炎症相关基因的上调。
在糖尿病心血管疾病等慢性病患者中，可能导致包括中风在内的严重脑血管病的发生。
核酸检测还有哪些注意事项？
检测前小时不要进食过饱和饮水。咽部病毒含量会受吃喝和吞咽的影响。而且如果在检测时被刺激导致咳嗽恶心呕吐，那么吃太饱可能导致误吸。
有的人检测前有上呼吸道感染症状，一般会选择检测病变较轻部分并做好随访。如果有鼻咽部大出血或严重水肿，那么应暂缓检测。
多带一个备用口罩。防止摘下又戴上后污染，同时防止高温天气下出汗导致口罩的防护能力下降。
检测前不要饥饿疲劳熬夜。检测经常要排队，过度饥饿可能导致低血糖或是晕血反应。
除此之外，剧烈的运动后疲劳情绪剧烈波动熬夜不睡觉后都可能都对检测过程产生不安定因素。要保持心态平和保持睡眠充足适当饮食。
在检测过程中一定要积极配合医护人员。检测结束后不要长时间逗留检测点，以减少交叉感染风险。
还有哪些情况不能抽烟？
备孕及妊娠孕妇吸烟不仅会损伤自身呼吸道健康，还会通过尼古丁代谢产物可替宁将毒素带过胎盘屏障，直达子宫内，引起流产胎停死胎等。
备孕时期男女双方吸烟都会影响正常怀孕的成功率，且在胚胎早期影响基因突变概率。
无论一手烟二手烟三手烟都有导致母婴双方血液系统恶性肿瘤的可能，对孕妇产后的抑郁症状也有明显加重。
外科手术任何术前都应禁烟，在大型手术都需要进行全麻手术，进行气管插管，静脉辅助全身麻醉。如果有长期吸烟史，肺功能减退明显，或气道处于高敏状态，术中血氧交换就容易发生危险，同时术后更容易诱发肺部感染。
还有研究表明，术后凝血机制及血管恢复不仅受烟草中尼古丁不良影响，还受烟草不完全燃烧产生的一氧化碳的影响。
骨折外伤烟草进入人体后，会影响人体对钙离子的吸收，引起骨密度下降。
调查显示，吸烟超过年的人骨密度会下降，岁后骨密度还会随着年龄增长快速下降。
想早一点康复，就不要吸烟了！
冠心病支架术后烟草不完全燃烧产生的一氧化碳会降低血液吸收氧气的能力。尼古丁能使心跳加快，血压升高，心脏的承受能力减弱，心肌缺氧引起冠状动脉梗塞，心脏局部缺血促使动脉粥样化累积。
要预防冠心病，就更要戒烟了。吸烟者心脏发病的机率是不吸烟者的倍，而戒烟年后他们心脏发病的机率下降一半。
患肠胃性疾病吸烟可以增加肠胃病恶化风险，如胃溃疡或十二指肠溃疡患者，溃疡处的愈合会减慢。
研究发现这是因为吸烟能刺激神经系统，加速唾液及胃液的分泌，使胃肠时常出现紧张状态尼古丁会使胃肠黏膜的血管收缩。最终还可导致吸烟者食欲明显减退。
核酸检测的注意事项
大家一定要认真遵守
吸烟有害健康
无论是一手烟二手烟还是三手烟
都要尽量避免
无论是核酸检测前后
还是日常生活中都不要吸烟！
来源科普中国"
48小时内核酸检测阴性证明，时间怎么算?权威解答来了→,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6970826918572589599%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7d2edccbdd8863134256484d24b393de47e80d9b8a090d2ff7f6bc02a7f51b46e0862e0d5b14c8a4fca8647f1963d0873,2021/06/07,"月日发布的广州市新型冠状病毒肺炎疫情防控指挥部关于进一步强化疫情防控工作的通告第号要求，从白云机场出发乘坐计划出港时间在月日时之后的国内航班旅客不含外地中转旅客，须接受健康码绿码和小时核酸检测阴性证明查验。
核酸检测阴性证明时间计算标准
白云机场根据最新通告发布了实施细则。小时内核酸检测阴性证明时间计算标准为航班计划起飞时间核酸检测阴性证明报告时间或检测时间核酸结果时间小时。健康码里显示的电子版和医疗机构出具的纸质版小时核酸检测阴性证明均可作为乘机凭证。
以下情况可不查验核酸检测阴性证明
外地中转旅客，航班中转时间不超过小时且健康码为绿码，可以不查验小时核酸检测阴性证明。
白云机场在航站楼入口查验所有进入航站楼人员的健康码绿码，在进入安检通道前查验持有登机牌旅客的小时核酸阴性证明，在登机口会再次复核旅客的健康码绿码和小时核酸检测阴性证明。
旅客若因航班延误更改航班，未出安检通道的，旧的核酸结果有效若旅客离开安检通道或航站楼，核酸检测阴性结果有效期延长时间不超过小时。
一证一码不符合要求的旅客
可向航空公司申请办理免费退改签
白云机场提醒，请广大旅客提前准备好一证一码备查，若查验发现健康码绿码或小时核酸检测阴性证明其中之一不符合要求的，旅客可向航空公司申请办理免费退改签。
来源新快报
来源广东台今日关注"
48小时内核酸检测阴性证明，时间怎么算?权威解答来了→,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6970826918572589599%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7d2edccbdd8863134256484d24b393de47e80d9b8a090d2ff7f6bc02a7f51b46e0862e0d5b14c8a4fca8647f1963d0873,,"月日发布的广州市新型冠状病毒肺炎疫情防控指挥部关于进一步强化疫情防控工作的通告第号要求，从白云机场出发乘坐计划出港时间在月日时之后的国内航班旅客不含外地中转旅客，须接受健康码绿码和小时核酸检测阴性证明查验。
核酸检测阴性证明时间计算标准
白云机场根据最新通告发布了实施细则。小时内核酸检测阴性证明时间计算标准为航班计划起飞时间核酸检测阴性证明报告时间或检测时间核酸结果时间小时。健康码里显示的电子版和医疗机构出具的纸质版小时核酸检测阴性证明均可作为乘机凭证。
以下情况可不查验核酸检测阴性证明
外地中转旅客，航班中转时间不超过小时且健康码为绿码，可以不查验小时核酸检测阴性证明。
白云机场在航站楼入口查验所有进入航站楼人员的健康码绿码，在进入安检通道前查验持有登机牌旅客的小时核酸阴性证明，在登机口会再次复核旅客的健康码绿码和小时核酸检测阴性证明。
旅客若因航班延误更改航班，未出安检通道的，旧的核酸结果有效若旅客离开安检通道或航站楼，核酸检测阴性结果有效期延长时间不超过小时。
一证一码不符合要求的旅客
可向航空公司申请办理免费退改签
白云机场提醒，请广大旅客提前准备好一证一码备查，若查验发现健康码绿码或小时核酸检测阴性证明其中之一不符合要求的，旅客可向航空公司申请办理免费退改签。
来源新快报
来源广东台今日关注
月日发布的广州市新型冠状病毒肺炎疫情防控指挥部关于进一步强化疫情防控工作的通告第号要求，从白云机场出发乘坐计划出港时间在月日时之后的国内航班旅客不含外地中转旅客，须接受健康码绿码和小时核酸检测阴性证明查验。
核酸检测阴性证明时间计算标准
白云机场根据最新通告发布了实施细则。小时内核酸检测阴性证明时间计算标准为航班计划起飞时间核酸检测阴性证明报告时间或检测时间核酸结果时间小时。健康码里显示的电子版和医疗机构出具的纸质版小时核酸检测阴性证明均可作为乘机凭证。
以下情况可不查验核酸检测阴性证明
外地中转旅客，航班中转时间不超过小时且健康码为绿码，可以不查验小时核酸检测阴性证明。
白云机场在航站楼入口查验所有进入航站楼人员的健康码绿码，在进入安检通道前查验持有登机牌旅客的小时核酸阴性证明，在登机口会再次复核旅客的健康码绿码和小时核酸检测阴性证明。
旅客若因航班延误更改航班，未出安检通道的，旧的核酸结果有效若旅客离开安检通道或航站楼，核酸检测阴性结果有效期延长时间不超过小时。
一证一码不符合要求的旅客
可向航空公司申请办理免费退改签
白云机场提醒，请广大旅客提前准备好一证一码备查，若查验发现健康码绿码或小时核酸检测阴性证明其中之一不符合要求的，旅客可向航空公司申请办理免费退改签。
来源新快报
来源广东台今日关注"
做核酸检测注意事项 你想知道的都在这里,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6914570924008145421%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7e47f2d5fd7433a26104bb4ae679037d96cfa419cec8a7e6d5c94a50505b6ec066e484b1b9d5aebcf4b2fa45e747bce98,2021/01/06,"月日晚，河北省石家庄市召开疫情防控工作新闻发布会，介绍新冠疫情防控相关情况。会上通报，月日起，在全市范围内全面启动核酸全员检测，确保早发现早报告早隔离早治疗，迅速切断疫情传染途径。
从今日起，石家庄市各小区已经开始了核酸全员检测。
做核酸检测需要注意以下事项
一检测前做核酸检测前小时尽量避免进食，以免引起呕吐采样前分钟做到不喝饮料包括不喝水不吸烟不喝酒不咀嚼口香糖等临检要减少吞咽动作，不做清嗓子例如咳痰吐痰动作。采集鼻咽拭子前，被检测者应告知采集人员是否有相关既往病史或相关事项。例如鼻腔手术史鼻中隔弯曲血液病咽喉疾病，或服用抗凝药等相关危险因素检测者需要正确佩戴口罩，检测前取下口罩，检测后立即戴好，可准备一个备用口罩，污染后方便随时更换。
二检测中在采集口咽拭子时被检测者头后仰，张口发出啊音，有助于暴露咽喉，但过程中会出现刺激性干咳恶心呕吐等症状，被检测者可配合采集人员尽量放松深呼吸采集过程中可能出现鼻部酸痒感，刺激打喷嚏，可立即用纸巾提前备好或手肘遮挡。
三检测后采集后立即离开采集地点，避免在采集地点周围吐痰，呕吐。核酸检测前后都需要注意手部卫生，可使用免洗手消毒液或免洗酒精擦拭双手。
另外为了能提高效率，可提前准备由于医护人员防护严密，可能听不清讲话，同时也是为了提高效率，请务必一定带好身份证或户口本，佩戴口罩最好戴两个，其中一个备用，带包纸巾采集可能引发不适流泪，可以提前把姓名身份证号现在住址联系电话，提前写张纸条写的时候注意请保持字体工整，防止工作人员无法识别交给相关人员！
来源河北疾控
来源河北交通广播"
核酸检测到底是检测什么?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6908887401871966734%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e73b8b8b95f835cf8d3538c67aad01d979650759246ade602dc23e328388321b178abdac0915aa005b820e697c42bf2655,2020/12/22,"大连新闻传媒集团记者张丽霞
年初正当人们准备欢度新春佳节之际，大连市疾控中心通过核酸检测技术检出了大连首例同时也是辽宁省首例新冠病毒肺炎确诊病例，自此大连市阻击新冠病毒疫情的战斗打响。新冠疫情期间，为及早发现控制疫情，大连全市各区县全面开展大规模人群新冠病毒核酸检测工作，坚决阻断了疫情传播，全面打赢了这场疫情防控阻击战。月日，我市再度发现新冠病毒无症状感染者，随即金普新区个街道开展全员核酸检测。那么核酸检测到底是测什么呢？
核酸是什么？
核酸其实就是遗传物质，通俗的说就是基因。以病毒为例，它们的生命形式很简单，只是外面的衣壳和被衣壳包裹在里面的遗传物质组成。病毒的遗传物质可以是，也可以是，同时又区分为一条链与两条链，即分为单链双链单链与双链四种。新冠病毒的遗传物质是单链，它决定了外面的衣壳合成，以及病毒的致病力和传播力等。
核酸检测说明什么？
以病毒为例，有的病毒结构是螺旋对称有的是正二十面体对称有的病毒兼具螺旋对称与二十面体对称，不同的病毒有不同的形态，这些都是因为它们携带了不同的核酸。病毒因结构简单，在生物演化环境变化等等方面影响下核酸容易发生变异而产生新的种类。就好比新型冠状病毒，它是以前从未在人体中发现的冠状病毒新毒株。所有病毒的核酸都具有其特征性部分，核酸检测就是对病毒基因中特征性的部分进行大量扩增，以达到可以识别出来的检测量，所以某种病毒核酸检测阳性可以作为这种病毒感染确诊的依据。新冠病毒核酸检测就是检测其中的至少两个特征性片段，如检出则判定为阳性。
核酸检测具有早期诊断灵敏度和特异性高等特点。扩大核酸检测范围已作为常态化防控落实四早措施的首要举措。
作者张丽霞
来源大连日报"
病毒“身份证”--核酸的独白,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6973138102231826975%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e79dbcf66b973946222d72df6a1e095d27e567d1bbf12a38833c849eccc2b45b8f2c580c518e870b3adb62c27a2ab08a3b,2021/11/21,"当前，广州市多个区开展了多轮核酸检测工作。钟南山院士也多次呼吁加大核酸检测筛查力度。核酸是什么？检测核酸有着怎样的旅程？南都大数据研究院带您一起来看。
年，广东省人大常委会审议通过了关于依法防控新型冠状病毒肺炎疫情切实保障人民群众生命健康安全的决定中提到，对不服从政府及其有关部门发布的决定命令或者不配合依法采取的调查检验采集样本等疫情防控措施，阻碍疫情防控工作人员执行职务的，有关部门应当根据不同情形和情节轻重依法作出处理。
请各位街坊积极配合，参加全民核酸检测！
出品南都大数据研究院
统筹邹莹数据采集方晓林
设计欧阳静"
