标题,时间,正文
"COVID-19 'now a preventable disease,' B.C.'s top doctor says","Nov. 5, 2021 10:57 p.m. CST","
     
     Vancouver - 
     
    
	B.C.'s top doctor is calling COVID-19 ""a preventable disease,"" citing effectiveness of vaccines as the reason.

	In a modelling presentation Thursday, Dr. Bonnie Henry outlined what B.C.'s COVID-19 caseload would be without vaccines. Currently, the reproductive number in the province is at or below one in nearly all regions, meaning each new confirmed infection is spreading, on average, to just one other person, or fewer. 

	Without vaccination, Thursday's modelling presentation suggested the virus' reproductive number would be 3.43, and cases would be growing exponentially, surpassing 8,000 per day in a matter of just a few weeks.  B.C. adds 497 cases as Canada approves 1st COVID-19 vaccine for kidsFull coverage at CTVNews.ca/CoronavirusIs B.C. flooding affecting the province's COVID-19 numbers? Not yet, Health Ministry saysTracking every case of COVID-19 in CanadaFirst cases of Delta sublineage AY.4.2 confirmed in British ColumbiaCoronavirus vaccine tracker: How many people in Canada have received shots?COVID-19 vaccines for younger kids will likely arrive in B.C. before the holidays, province's top doctor saysGet The COVID-19 Brief sent to your inboxB.C. family plans to cross U.S. border to get COVID-19 vaccine for 8-year-old child'Like playing COVID test roulette': B.C. couple on free PCR testing in the U.S.

	""This is showing us how important and how protective and effective the vaccines that we have are,"" Henry said. ""This is now a preventable disease, particularly in severe illness, hospitalizations.""

	The modelling data presented Thursday also revealed an updated estimate of how much more likely individuals are to get infected, end up in hospital or die from COVID-19 if they are unvaccinated.

	Adjusted for age, unvaccinated individuals are 10 times more likely to test positive for COVID-19, the data suggested, and 46 times more likely to die from the disease.

	But the risk of hospitalization is even higher.

	""Just to underline the age adjusted number, 50 times more likely to be in hospital if you're unvaccinated. Fifty times,"" Health Minister Adrian Dix said. ""I think it's important to reflect on that.""

	Even with vaccinations, Henry said the biggest risk factor for COVID-19 continues to be age. In fact, the modelling presentation indicated that 46 per cent of the 179 deaths during October were among those who had received two doses of a vaccine.

	""Our seniors and elders continue to be vulnerable and that's why we've rolled out the booster dose to them so quickly,"" Henry said.

	As of Thursday, 90.1 per cent of eligible people aged 12 and older have received their first COVID-19 dose and 85.6 per cent have received two. The province's plan to offer booster shots is continuing to roll out and Dix said that process is nearly complete in long-term care and assisted living homes.

	""Booster-dose vaccination is 98 per cent complete in long-term care and seniors assisted living facilities across the province with 526 of 536 facilities receiving their booster dose to date,"" he said.

	Booster doses are being offered to other groups most vulnerable to the disease first and will be available to the general population through a gradual roll-out starting next year. 

	With files from CTV News Vancouver's Ian Holliday 

"
B.C. COVID-19 modelling shows what the province's caseload would look like without vaccines,"Nov. 5, 2021 5:54 a.m. CST","
     
     Vancouver - 
     
    
	B.C.'s latest modelling of the COVID-19 pandemic shows transmission of the coronavirus flat or declining across the province, with a previous spike in cases among children seemingly over.

	COVID-19's reproductive number is at or below one in all regions of the province, meaning each new confirmed infection is spreading, on average, to just one other person, or fewer.

	That's a recipe for continued declining cases, something health officials attribute to widespread vaccination.  B.C. adds 497 cases as Canada approves 1st COVID-19 vaccine for kidsFull coverage at CTVNews.ca/CoronavirusIs B.C. flooding affecting the province's COVID-19 numbers? Not yet, Health Ministry saysTracking every case of COVID-19 in CanadaFirst cases of Delta sublineage AY.4.2 confirmed in British ColumbiaCoronavirus vaccine tracker: How many people in Canada have received shots?COVID-19 vaccines for younger kids will likely arrive in B.C. before the holidays, province's top doctor saysGet The COVID-19 Brief sent to your inboxB.C. family plans to cross U.S. border to get COVID-19 vaccine for 8-year-old child'Like playing COVID test roulette': B.C. couple on free PCR testing in the U.S.

	B.C.'s medium-range projection, however, assumes a reproductive number of 1.07, with cases remaining relatively flat at their current levels, according to the slides presented by provincial health officer Dr. Bonnie Henry in a news conference Thursday afternoon.

	Currently, B.C. is seeing just over 500 new cases of COVID-19 per day, down from a high in the mid-700s earlier in the fourth wave.

	Without vaccination, the modelling presentation suggests, the virus' reproductive number would be 3.43, and cases would be growing exponentially, surpassing 8,000 per day in a matter of just a few weeks.

	Both projections are based on the existing rules put in place to stop the spread of the coronavirus. If there were no vaccines, B.C. would almost certainly need stricter regulations to keep the virus in check and prevent hospitals from being overwhelmed.

	With B.C. headed into what she calls ""respiratory season,"" Henry said the existing rules that have helped the province get its reproductive number down to its current level need to stay in place.

	""We have, right now, a fragile balance,"" the provincial health officer said. ""We're going down slowly … This is not the time to let off, in any way, on the things we are doing to protect ourselves, our families and our communities.""

	Henry listed five things she says B.C. residents should do for their health and that of their community. Four of them relate to vaccination. They are: getting a booster dose when it's your turn; getting your first and second doses right away if you haven't; getting an influenza vaccine to protect against the flu; and registering younger children to get a COVID-19 vaccine as soon as they're eligible.

	The fifth thing British Columbians should do, according to Henry, is stay home if they are sick and continue to take actions to limit the spread of COVID-19, such as keeping distance, wearing masks and getting tested as soon as possible when symptoms develop.

	Henry described ""stubbornly high rates of hospitalization"" as B.C.'s ""biggest challenge"" over the last couple of months.

	Health Minister Adrian Dix said more than 100 patients have now been relocated from hospitals in B.C.'s north to other areas of the province.

	The province hit a 25-week high for COVID-19-related hospitalizations earlier this week. 

	Henry attributed B.C.'s high number of hospitalizations to a combination of factors, including the highly transmissible Delta variant leading to more serious illness among younger people - particularly those who are unvaccinated - as well as breakthrough cases among older people who are fully vaccinated, but whose immune systems mount a less robust response to immunization than younger people's do.

	For this reason, older people have been prioritized for booster shots, Henry said. 

	Age has always been, and continues to be, the biggest risk factor for COVID-19, the provincial health officer added.

	Many of those who died from COVID-19 in B.C. in the month of October were older people who were fully vaccinated, Henry said. The modelling presentation indicated that 46 per cent of the 179 deaths during the month were among those who had received two doses of a vaccine.

	Forty-nine per cent of the deaths were among unvaccinated people, and those deaths tended to be among people who were younger, on average, than those who were fully vaccinated and died, according to Henry.

	An unvaccinated person is 46 times more likely to die from COVID-19 than a fully vaccinated person of the same age, and 50 times more likely to be hospitalized, Henry said. 

	Read through the documents provided by the Ministry of Health:

	
(function() { var scribd = document.createElement(""script""); scribd.type = ""text/javascript""; scribd.async = true; scribd.src = ""https://www.scribd.com/javascripts/embed_code/inject.js""; var s = document.getElementsByTagName(""script"")[0]; s.parentNode.insertBefore(scribd, s); })();	

"
Victoria police launch new vaccine mandate for staff,"Nov. 4, 2021 11:30 p.m. CST","
     
     Victoria - 
     
    
	The Victoria Police Department is updating its rules around the COVID-19 vaccine.

	Police say that all staff members, including police officers, civilian staff, volunteers and more, must submit proof of full vaccination against COVID-19 by Nov. 15.

    Advertisement
   
	If proof is not given, staff will have to conduct ""regular COVID-19 antigen testing"" starting on the same day, police say.
        RELATED STORIES
       Victoria requiring COVID-19 vaccinations from all city staffEsquimalt requires all staff to be fully vaccinated against COVID-19Saanich launches mandatory COVID-19 vaccine policy for staffCRD requiring employees to be fully vaccinated against COVID-19 by Dec. 13

	""I know that most of our staff are fully vaccinated and have the BC Vaccine Card,"" said Victoria Police Chief Del Manak in a release Wednesday.

	""That said, we need to confirm the safety of our staff and the public, and will implement rapid testing for those that are not fully vaccinated,"" he said.

	Last week, the City of Victoria announced that all municipal employees would require proof of full vaccination starting Jan. 5.

	Other municipalities, including Esquimalt, Saanich, Central Saanich and the Capital Regional District have also launched mandatory vaccine policies. 

"
"B.C.'s pandemic death toll reaches 2,200 with another 8 deaths in 24 hours","Nov. 5, 2021 9:22 a.m. CST","
     
     Vancouver - 
     
    
	Eight more people have died of COVID-19 in B.C. in the 24-hour period since the health ministry's last update.

	A news release from the ministry Thursday said the death toll now stands at 2,200 since the start of the pandemic.

    Advertisement
    
	The ministry also added another 596 cases to its tally, bringing the total confirmed in B.C. to 207,716.  B.C. adds 497 cases as Canada approves 1st COVID-19 vaccine for kidsFull coverage at CTVNews.ca/CoronavirusIs B.C. flooding affecting the province's COVID-19 numbers? Not yet, Health Ministry saysTracking every case of COVID-19 in CanadaFirst cases of Delta sublineage AY.4.2 confirmed in British ColumbiaCoronavirus vaccine tracker: How many people in Canada have received shots?COVID-19 vaccines for younger kids will likely arrive in B.C. before the holidays, province's top doctor saysGet The COVID-19 Brief sent to your inboxB.C. family plans to cross U.S. border to get COVID-19 vaccine for 8-year-old child'Like playing COVID test roulette': B.C. couple on free PCR testing in the U.S.

	The latest data came after an update from the province on the projected spread of COVID-19. Earlier in the day, the provincial health officer presented modelling data showing transmission of the novel coronavirus is flat or declining across B.C., and suggesting a previous spike in cases among children is over. 

	It's positive news, but B.C. is still dealing with 4,451 active cases as of Thursday's update, 438 of whom are being treated in hospital.

	The province does not provide daily updates on how many hospitalized patients are vaccinated, but officials say the majority of those with infections and in hospital beds are not fully vaccinated, or have received no shots at all.

	As of the latest update, there are 130 people being treated in intensive care units across the province.

	Half of the just-confirmed cases were recorded in Fraser Health – unsurprisingly, as the health authority is the province's most populous. Three of the deaths were also in Fraser Health, while two were in Vancouver Coastal and the remaining three were in the Northern Health region.

	Northern Health is still seeing the most cases per capita.

	Adding two new health-care facility outbreaks to the list, B.C. is now dealing with a total of 37. 

	As of Thursday, 90.1 per cent of eligible people in B.C. had received at least one of their two doses of COVID-19 vaccine, and 85.6 per cent have had both shots.

"
"Woman in 60s dies, 18 new COVID-19 cases reported in Windsor-Essex","Nov. 5, 2021 12:43 a.m. CST","
     
     Windsor, Ont.  - 
     
    
	The Windsor-Essex County Health Unit is reporting 18 new cases of COVID-19 and one new death on Thursday.

	A woman in her 60's from the community has died.

    Advertisement
    
	The death toll related to COVID-19 in the region has reached 465 people.
        RELATED STORIES
       Ontario not mandating COVID-19 vaccines for hospital workers, no change to area hospitals' policyPossible COVID-19 exposure at Provincial Chrysler WECHU ready to ramp up administering COVID-19 booster shots

	WECHU released the weekly epidemiological summary on Thursday.

	DATA HIGHLIGHTS:

	
		20,563 cases reported and 7-day moving average of 22.6 cases per 100,000 population.
	
		For the week of October 25 – 31, the case rate is 39.3 per 100,000 individuals, an increase of 11.3 compared to the previous week.
	
		A decrease of 0.9% in percent positivity was observed this week, as it decreased from 3.6% (October 10 – 16, 2021) to 2.7% (October 17 – 23, 2021).
	
		Highest number of cases (24%) were seen among 0-19 year olds in the past two weeks.
	
		Essex had the highest weekly case rate of 84 cases per 100,000 population.


	OUTBREAKS IN WINDSOR-ESSEX

	
		2 workplaces
	
		0 long-term care or retirement homes
	
		5 community outbreaks
	
		3 school outbreaks


	BREAKDOWN OF NEW CASES

	
		8 cases are close contacts of confirmed cases
	
		8 cases are community acquired
	
		2 cases are still under investigation


	WINDSOR-ESSEX COUNTY RESIDENTS VACCINATED

	
		325,665 WEC residents have received at least one dose of a vaccine
	
		15,647 WEC residents have only received 1 dose
	
		310,018 WEC residents have received both doses of a vaccine
	
		5,301 WEC residents have received a 3rd dose/booster shot of a vaccine. Please note: Third Doses of an mRNA COVID-19 vaccine are available for select vulnerable populations. Further information is available at https://www.wechu.org/cv/clinics#third-dose.
	
		A total of 640,984 doses have been administered to WEC residents
	
		85.8% of WEC residents 12+ have received at least 1 dose
	
		81.7% of WEC residents 12+ are fully vaccinated


	

"
"COVID-19 cases declining, but Saskatchewan hospitals still under pressure: top doctor","Nov. 4, 2021 12:45 a.m. CST","
     
     REGINA - 
     
    
	The Saskatchewan government says the province's fourth wave is waning as COVID-19 cases decline, but health officials say hospitals are still under significant pressure.

	Dr. Saqib Shahab, chief medical health officer, said Tuesday that it will take four to six weeks for hospitals to return to sustainable levels -- and that's only if people remain vigilant by getting vaccinated and reducing gathering sizes.

    Advertisement
    
	""Daily case numbers are coming down and I'm sure we're all hearing a sigh of relief, but we have to remain cautious,"" Shahab said.
        RELATED STORIES
       COVID-19 pandemic forces delay of 26K surgeries in Sask. Fewer than 10 patients have used antibody treatment in Sask.5 COVID-19 deaths, 107 new cases reported in Sask. 

	The province reported 107 cases, down from a peak of 650 cases five weeks ago.

	There were 222 people in hospital with the virus, 48 of them receiving intensive care. The province's ICUs remained 123 per cent over baseline capacity.

	The Saskatchewan Health Authority said it's too early to tell if the drop in cases is a trend.

	""(Health-care workers) are tired, they're exhausted, they've been working at a very, very high acuity rate in our ICUs for multiple weeks,"" said Scott Livingstone, the health authority's CEO. ""This type of care is not sustainable.""

	Shahab said there are rural areas where 30 to 40 per cent of eligible populations remain unvaccinated, which is enough to drive more substantive waves of COVID-19.

	""We need to remain extremely vigilant over the winter months,"" he said.

	As a result of the extreme pressure that COVID-19 has put on hospitals, the backlog of those waiting for elective surgery is at 35,000, said Health Minister Paul Merriman.

	Livingstone added it could take 18 months to catch up on hip and knee surgeries alone, not including anyone newly added to the waiting list.

	""We've got a big hill to climb on getting our surgical numbers back to an acceptable level,"" said Merriman.

	He said his ministry has set aside $20 million for surgeries but will need even more money in the coming year to address the backlog.

	The province remains without a plan to expand its surgical capacity, including how it will find additional health-care workers to help with the backlog.

	""We haven't built a plan, approved and staffed (it), because we're still in the middle of the pandemic,"" Livingstone said.

	If people reduced their gathering sizes, the 275 health-care services that have been reduced would be able to resume sooner, he added.

	Merriman said he won't bring in restrictions on gathering sizes because the province's proof of vaccine policy and mask mandate is bringing case numbers down.

	""It is working. Further restrictions right now, I don't think they're warranted,"" Merriman said.

	He later added that the Saskatchewan Party government is doing everything it can to help surgeries resume.

	NDP Opposition Leader Ryan Meili called Merriman an ""incompetent minister that has failed this province drastically.""

	""I don't think this minister has a good sense of how the health-care system works, and I don't believe he is listening fully to key leaders within the health-care system, including Dr. Shahab,"" Meili said.

	This report by The Canadian Press was first published Nov. 2, 2021.

"
"Personal freedom, health concerns main reasons unvaccinated Canadians refuse the jab: poll","Nov. 4, 2021 12:37 a.m. CST","
     
     Winnipeg - 
     
    
	New data from the Angus Reid Institute sheds light on the top reasons Canadians aren't rolling up their sleeves for the COVID-19 vaccine.

	Topping the list - personal freedoms and doubt around the severity of the virus.

    Advertisement
    
	Ninety per cent of the unvaccinated surveyed said they believe the health risks of COVID-19 are overstated, while 84 per cent believe their immune system alone is strong enough to fight off the virus.

	The poll also shows that misinformation appears to be playing a role, with 55 percent of unvaccinated people agreeing with the statement: “COVID-19 is a conspiracy that is all about government control.""

	Of the 505 Manitobans polled, 12 per cent are unvaccinated. Of those, 98 per cent say they haven't gotten the jab because they believe COVID-19 is not a serious health threat.

	Another key takeaway – men, particularly those aged 18 to 34, refuse to be vaccinated at a higher rate than women. Twelve per cent said of those surveyed they would not get the vaccine.

	The online survey was conducted between Sept. 29 and Oct. 3 with randomized sample of 5,011 Canadian adults.

	The full results from the poll can be found here.

"
WECHU ready to ramp up administering COVID-19 booster shots,"Nov. 4, 2021 4:14 a.m. CST","
     
     Windsor, Ont. - 
     
    
	The Windsor-Essex County Health Unit is rolling out COVID-19 booster shots to eligible residents with prioritized groups able to book their third mRNA vaccine starting Wednesday.

	The Ontario government announced Wednesday it is expanding eligibility for booster doses of the COVID-19 vaccine to additional groups of high-risk individuals starting Nov. 6, 2021, providing an extra layer of protection against the Delta variant. Over the coming months, the province said it is also prepared to gradually roll out booster doses to all Ontarians aged 12 and over.

    Advertisement
    
	Health unit CEO Nicole Dupuis said they are ready since the government asked all public health units in the fall to create a plan for third dose vaccinations.
        RELATED STORIES
       Ontario expands eligibility for third doses of COVID-19 vaccine

	“We have a very good plan in Windsor-Essex I believe. We’ve got great partners with our hospitals,” said Dupuis.

	Dupuis said the vaccination clinic at Devonshire Mall will help with increased demand.

	“We’ve continued our mass vaccination site, so that’ll certainly be a big part of our rollout plan. We have a lot of capacity within that clinic, and we feel confident we’re ready to go,” she said.

	The National Advisory Committee on Immunization (NACI) expanded eligibility for booster shots last week.

	Based on the recommendation of the Chief Medical Officer of Health and in alignment with NACI’s recent recommendation, the province will begin offering booster doses to the following vulnerable populations if at least six months have passed since their last dose:

	
		Individuals aged 70 and over (born in 1951 or earlier);
	
		Health care workers and designated essential caregivers in congregate settings (including long-term care home and retirement home staff and designated caregivers);
	
		Individuals who received a complete series of a viral vector vaccine (two doses of the AstraZeneca vaccine or one dose of the Janssen vaccine); and
	
		First Nation, Inuit and Métis adults and their non-Indigenous household members.
	
		Moore said booster doses are being offered to these groups based on evidence of gradual waning immunity six months after receiving their second dose and a higher risk of severe illness from COVID-19.


	Dupuis said residents should be familiar with the appointment booking system, since it was also used for the first and second doses.

	“We’ll use our online booking system, as we have in the past,” she said. “Those that have already received a vaccination will be familiar with the process. We do have our booking call centre as well. The number hasn’t changed, and individuals can call if they need greater assistance.”

	WECHU reports 5,218 residents have received a third dose/booster shot of a vaccine to date.

	The Community Response and Stabilization Team (CRST) and Essex-Windsor EMS will start administering booster shots to the following groups of people at least six months after their second dose:

	Age 70+ (Birth year 1951);

	Healthcare workers and designated essential caregivers in congregate settings

	Ontarians who had TWO doses of the AstraZeneca vaccine

	First Nations, Inuit and Métis people and non-Indigenous members of their households

	The CRST will starting providing booster shots to those eligible starting Monday, Nov. 8 at weekly pop-up clinics in West Windsor and Leamington.

"
COVID-19 update: B.C. adds 430 cases as average reaches 11-week low ,"Nov. 4, 2021 10:14 a.m. CST","
     
     Vancouver - 
     
    
	Another 430 cases of COVID-19 have been confirmed in British Columbia, pushing the province's seven-day average to an 11-week low.

	Wednesday's update, provided in a written statement from the Ministry of Health, leaves B.C.'s case average at 507 per day. The last time it was that low was Aug. 15, when the average was 490 per day.

    Advertisement
    
	The latest data from the government's COVID-19 Surveillance Dashboard shows case numbers declining across most of the province, with a few notable exceptions, including the Central Coast and Vancouver Island West local health areas.  B.C. adds 497 cases as Canada approves 1st COVID-19 vaccine for kidsFull coverage at CTVNews.ca/CoronavirusIs B.C. flooding affecting the province's COVID-19 numbers? Not yet, Health Ministry saysTracking every case of COVID-19 in CanadaFirst cases of Delta sublineage AY.4.2 confirmed in British ColumbiaCoronavirus vaccine tracker: How many people in Canada have received shots?COVID-19 vaccines for younger kids will likely arrive in B.C. before the holidays, province's top doctor saysGet The COVID-19 Brief sent to your inboxB.C. family plans to cross U.S. border to get COVID-19 vaccine for 8-year-old child'Like playing COVID test roulette': B.C. couple on free PCR testing in the U.S.

	The ministry also announced six coronavirus-related deaths, leaving the province's seven-day average for COVID-19 fatalities unchanged at 7.86 per day.

	The government could not provide an updated number of overall hospitalizations, citing a ""data error,"" but said there remain 137 infectious COVID-19 patients in intensive care.

	The vast majority of those patients – 116, or 85 per cent – are unvaccinated.

	Vaccine holdouts have consistently been over-represented in B.C.'s COVID-19 case numbers. They continue to make up the majority of infections, hospitalizations and ICU visits, despite representing less than 20 per cent of the provincial population, including those who are too young to be eligible for vaccination.

	The unvaccinated accounted for 59.1 per cent of the 3,732 coronavirus infections recorded across B.C. from Oct. 26 to Nov. 1, and 65.9 per cent of the 449 hospitalizations recorded between Oct. 19 and Nov. 1.

	As of Wednesday, 90.1 per cent of eligible British Columbians have received at least one dose of vaccine, and 85.5 per cent have received two.

	The government is now offering third doses and booster shots to some at-risk health-care workers and vulnerable groups who could have waning protection for a variety of reasons. Third doses are also being made available to the general public in the new year.

	Northern Health, which has trailed the rest of the province's health authorities in vaccination rates, once again recorded the highest number of cases per capita on Wednesday. B.C.'s latest cases were distributed as follows:

	
		Northern Health – 37 cases, a rate of 12.2 cases per 100,000 population
	
		Interior Health – 88 cases, a rate of 10.7 cases per 100,000 population
	
		Fraser Health – 202 cases, a rate of 10.3 cases per 100,000 population
	
		Island Health – 47 cases, a rate of 5.4 cases per 100,000 population
	
		Vancouver Coastal Health – 56 cases, a rate of 4.5 per 100,000 population


	Another 740 people have recovered from COVID-19 as well, according to the ministry, leaving the province's active caseload at 4,373, the lowest it's been since Aug. 13.

	The government announced one new outbreak at Hallmark on the Park, an assisted living facility in Abbotsford. Two others, at Heritage Village and Magnolia Gardens, have ended, leaving the province with 40 active outbreaks across its health-care system.

	 

	
	
		 
	
	
		 
	

"
Nova Scotia gives public-sector workers eight more weeks to get COVID-19 vaccine,"Nov. 4, 2021 9:05 a.m. CST","
     
     HALIFAX - 
     
    
	Nova Scotia is hoping that a little more time is all public sector employees need to adhere to public health's vaccine mandate.

	""This mandate was in no way intended to penalize people so if there are folks who previously hadn't considered vaccination who have gotten the knowledge that they needed in order to do that,"" says Nova Scotia Health Minister Michelle Thompson.

    Advertisement
    
	The original deadline was Nov. 30.
        RELATED STORIES
       Nova Scotia reports 11 new COVID-19 cases Tuesday, active cases drop to 161N.S. updates vaccine mandate to include correctional services workers, regulated child-care sectorN.S. seniors advocate wants mandatory vaccination requirements for long-term care workers

	Now, workers who have their first shot by Nov. 15 will have an extra two months to roll up their sleeves and get their second.

	Nova Scotia's NDP leader supports the extension.

	""There are many, many considerations involved in this whole vaccine related question but when you take all things together this seems to be a prudent course of action,"" says Gary Burrill.

	Those who don't meet the deadline will be placed on unpaid leave.

	Many of them are represented by the Nova Scotia Government and General Employees Union.

	""What we tend to do is take the issues on a case by case basis and see what the reasons are, the mitigating factors, and really try to piece together a case for our members if they do indeed do have a case,"" says union president Jason MacLean.

	The extension applies to more than 80,000 employees in schools, corrections, child-care centres and hospitals.

	Zach Churchill, the Liberal party's health critic, has some concerns over how the mandate will affect staffing levels.

	""It's really important for the public to know if this policy he's going to exacerbate the labour shortage in our healthcare systems and if that's going to impact service delivery for surgeries, for our emergency departments, for our long-term care sector,"" he said.

	Thompson says her department is working on a contingency plan to deal with the loss of unvaccinated workers.

	The government hasn't released data on how many public sector workers risk being placed on leave for not getting vaccinated.

	With files from The Canadian Press.

"
"Nova Scotia reports 11 new COVID-19 cases Tuesday, active cases drop to 161","Nov. 3, 2021 1:31 a.m. CST","
     
     HALIFAX - 
     
    
	Health officials in Nova Scotia are reporting 11 new COVID-19 cases and 16 recoveries on Tuesday, as the number of active cases drops to 161.

	
		Five new cases were identified in the province's Central zone.
	
		Four new cases were identified in the province's Eastern zone.
	
		Two new cases were identified in the province's Northern zone.


	Public Health says it is closely monitoring all four health zones for community spread.  Tracking every case of COVID-19 in CanadaCoronavirus vaccination tracker: How many people in Canada have received shots?COVID-19 vaccine booster eligibility by province and territory in CanadaThese Canadian airports will soon accept international flightsU.S. gives final clearance to COVID-19 shots for kids 5 to 11Those who survived COVID-19 and then got vaccinated have more durable antibodies, study findsB.C. cancels some surgeries due to shortages caused by unvaccinated workers: ministerCOVID-19 deaths hit another daily record in hard-hit RussiaNYC mayor vows consequences for firefighters if they skipped work to protest vaccine mandate after 2,300 called out sickNovavax submits COVID-19 vaccine for approval by Health CanadaCanadian snowbirds gear up for reopening of U.S. land bordersWhat you need to know about Canada's new COVID-19 rules for train, plane passengersFull coverage at CTVNews.ca/Coronavirus
        RELATED STORIES
       Nova Scotia reports one COVID-19 related death, 59 new cases over the weekend

	EXPOSURE NOTICE FOR FIVE SCHOOLS

    Advertisement
    
	Health officials also sent exposure notices for five schools in the province on Monday.

	The latest school exposures are at Boularderie Elementary School and Jubilee Elementary in Cape Breton, Fairview Junior High, Fairview Heights Elementary in Halifax, and Kingswood Elementary in Hammonds Plains.

	“It is important to note that an exposure associated with a school does not mean there is spread within the school or that the initial case was first exposed to the virus in the school. As always, all staff, parents and guardians are notified of exposures if a positive case (student, teacher or staff) was at the school while infectious,” said N.S. Health in a release.

	A list of schools with exposures is available online.

	COVID-19 CASE DATA

	Nova Scotia Health Authority's labs completed 1,697 tests on Monday. A total of 1,317,616 COVID-19 tests have been processed since the start of the pandemic.

	According to the province's online COVID-19 dashboard, there have been 7,424 cumulative COVID-19 cases in Nova Scotia. Of those, 7,162 people have recovered and 101 have died due to COVID-19.

	There are currently eight people in hospital in Nova Scotia due to COVID-19, with no one in intensive care units.

	Since Aug. 1, there have been 1,528 positive COVID-19 cases and six deaths. Of the new cases since Aug. 1, 1,360 are now considered resolved.

	There are cases confirmed across the province, but most have been identified in the Central zone, which contains the Halifax Regional Municipality.

	The provincial government says cumulative cases by zone may change as data is updated in Panorama, the province’s electronic information system.

	The numbers reflect where a person lives and not where their sample was collected.

	
		Western zone: 434 cases (15 active cases)
	
		Central zone: 5,697 cases (107 active cases)
	
		Northern zone: 592 cases (22 active cases)
	
		Eastern zone: 701 cases (17 active cases)


	VACCINE UPDATE

	The province's COVID-19 online dashboard provides an update on the number of vaccines that have been administered to date.

	As of Tuesday, 1,577,463 doses of COVID-19 vaccine have been administered. Of those, 763,954 Nova Scotians have received their second dose.

	In total, 83.3 per cent of the province's overall population has received at least one dose of COVID-19 vaccine, while 78.6 per cent of Nova Scotians have received their second dose.

	The province says it has received a total of 1,661,340 doses of COVID-19 vaccine since Dec. 15, 2020.

	All Nova Scotians are encouraged to get vaccinated against COVID-19 as soon as they are eligible. COVID-19 vaccination appointments can be made online or by phone at 1-833-797-7772.

	LIST OF SYMPTOMS

	Anyone who experiences a fever or new or worsening cough, or two or more of the following new or worsening symptoms, is encouraged to take an online test or call 811 to determine if they need to be tested for COVID-19:

	
		Sore throat
	
		Headache
	
		Shortness of breath
	
		Runny nose/nasal congestion  


"
Vancouver Island adds 51 new COVID-19 cases as new outbreak declared,"Nov. 3, 2021 8:01 a.m. CST","
     
     Victoria - 
     
    
	B.C. health officials identified 51 new cases of COVID-19 in the Vancouver Island region Tuesday.

	The cases were among 406 cases found across the province over the past 24 hours.

    Advertisement
    
	According to the B.C. Health Ministry, there are 4,694 active cases of COVID-19 in British Columbia, including 652 active cases in the Island Health region.  Tracking every case of COVID-19 in CanadaCoronavirus vaccination tracker: How many people in Canada have received shots?Saskatchewan won't impose more COVID-19 measures: Premier Scott MoeModerna says its low-dose COVID-19 shot works for kids 6 to 11U.S. details new international COVID-19 travel requirementsNew 'Delta Plus' COVID-19 strain being investigated, but is it more contagious?An American woman had COVID-19 for a year. This is what doctors learnedNew benefit for workers only intended for those in 'complete' lockdowns: Qualtrough Full coverage at CTVNews.ca/Coronavirus

	As of Tuesday, there are more active cases of COVID-19 in the Island Health region than any other health region in the province, except for Fraser Health.

	Northern Health reported 606 active cases Tuesday, Vancouver Coastal Health confirmed 607 and Interior Health reported 613, according to the B.C. Ministry of Health.

	Active cases in the Fraser Health region reached 2,157 Tuesday.

	Island Health data identified the locations of 567 active cases Tuesday, including 128 in the South Island, 375 in the Central Island and 64 in the North Island.

	Health officials say five COVID-19 deaths were recorded in the province over the past 24 hours. Four deaths were reported in Northern Health, and one death was confirmed in Interior Health.

	Since the pandemic began, 2,186 people have died of COVID-19 in B.C., including 96 deaths recorded in the Island Health region.

	There are currently 41 active COVID-19 outbreaks at health-care facilities across the province, including two located in the Island Health region.

	Outbreaks have been declared at Nanaimo Regional General Hospital (NRGH) and at a long-term care home in Nanaimo, as well as at the Vancouver Island Regional Correctional Centre.

	The outbreak at NRGH was declared Tuesday morning, and is limited to the hospital's transitional care unit, according to Island Health.

	As of Tuesday, 90 per cent of eligible British Columbians have received one dose of a COVID-19 vaccine, while 85.4 per cent have received two doses.

"
