标题,时间,正文
Pandemic state of emergency to possibly end in Wellington County by end of year,"Nov. 11, 2021 5:59 a.m. CST","
     
     Wellington County - 
     
    
	The County of Wellington issued a pandemic goal to end its state of emergency at midnight on Dec. 31, 2021.

	According to a press release, in order for this to happen two criteria have been set out: continued decline in COVID-19 cases and hospitalizations, and start of COVID-19 vaccination for children aged five to 11.

	The decision was made in consultation with the medical officer of Health for Wellington-Dufferin-Guelph Public Health.

	“After nearly 20 months of a global pandemic, it is time to chart a path back to something more normal for all of us,” said Dr. Nicola Mercer, medical officer of health and CEO for Wellington-Dufferin-Guelph Public Health. “Ending the pandemic is a job for all of us. Please continue to follow public health guidance so that as we approach the time to ease restrictions, we are as safe and as ready as we can be.""

	The state of emergency in Wellington County was declared on March 23, 2020 in response to the pandemic.

	It allows Warden Kelly Linton to issue orders to protect the health, safety, property and welfare of residents.

	It also has allowed the county to rapidly redeploy staff to assist at the Wellington Terrace Long Term Care Home and in COVID-19 vaccination clinics

	“I have spoken with City of Guelph Mayor Cam Guthrie and Dufferin County Warden Darren White, and we are all on the same page,” Linton said in the release. “While there is no longer a need for a local state of emergency to be in place, the pandemic is not over. I continue to urge all residents to get vaccinated and continue to follow guidance from Wellington-Dufferin-Guelph Public Health.”

	Officials noted nearly 80 per cent of eligible Wellington County residents have received two doses of the COVID-19 vaccine.

	 

"
In the queue: Maritime provinces lay groundwork for COVID-19 boosters,"Nov. 12, 2021 10:27 p.m. CST","
     
     HALIFAX - 
     
    
	Health Canada has decided the Pfizer vaccine is appropriate as a third shot for everyone 18 and over.

	Some groups have already been identified for boosters and in New Brunswick, all long-term care homes have received vaccines.

	In Nova Scotia, the booster rollout for priority groups is underway and will expand at the end of the month.
        RELATED STORIES
       Nova Scotia reports preliminary numbers for vaccine uptake for workers under mandateMore Nova Scotians eligible for booster vaccines; 40 new COVID-19 cases reported Friday

	The focus will be on those who are immunocompromised, as well as residents of long-term care homes.

	Other groups are in the queue.

	""Towards the end of the month we will be able to open, to deliver third dose vaccinations to priority groups,"" said Nova Scotia’s Health Minister Michelle Thompson.

	She says that distribution will look similar to the province's original age-based vaccination plan.

	""People 80 years and older will be immunized first and then we will move to the 70 to 79 group and we will continue from there,"" Thompson said.

	""Also frontline health-care workers who have a vaccination with less than 28 days between their initial two doses.""

	Nova Scotians who received two shots of AstraZeneca or one dose of the Janssen vaccine will also be on the priority list.

	Cumberland North MLA Elizabeth Smith-McCrossin isn't happy with the speed of the roll-out.

	""We need to get our third shot, our booster into arms now (especially) our most vulnerable. That needs to be made a priority,"" Smith-McCrossin said.

	Those wishing to travel are also eagerly awaiting their booster with the hope that another shot of Pfizer will make international travel more accessible.

	Industry experts caution however that protocols can still change without much notice.

	""It's really important to check with those destinations, monitor what the requirements are currently with a trusted travel advisor to help you negotiate and plan ahead for what you might find when you get there,"" said Steve Olmstead, CAA’s public affairs director.

	Moderna has also applied to have its COVID-19 booster shot approved by Health Canada.

"
'We are kind of a hot zone': Amherst residents worry after spike in COVID-19 cases after faith-based event,"Nov. 10, 2021 9:55 p.m. CST","
     
     AMHERST, N.S. - 
     
    
	COVID-19 testing has popped up at the Amherst Fire Department, bringing out residents concerned about case counts.

	""With the amount of cases, we are kind of a hot zone, so its better to be safe than sorry,"" said resident Stephanie Chapell.

	Fellow resident Joseph Murphy says he's worried.
        RELATED STORIES
       Nova Scotia reports one COVID-19 related death, 56 new cases Tuesday

	""It does worry me a lot about them opening up the border, too,"" he said.

	The area has seen a recent increase in cases, with 53 active as of Tuesday.

	There is also growing concern over an outbreak at East Cumberland Lodge, a long-term care home in nearby Pugwash, N.S.

	There is community spread, says public health, as a result of a faith gathering in the area last month, although it won't confirm where.

	""It was a multi-day gathering and there was approximately 100 people that attended the gathering,"" Dr. Shelley Deeks, Nova Scotia's deputy chief medical officer said on Monday.

	One Amherst church did hold such an event in late October.

	The pastor for Gospel Light Baptist Church would not speak to CTV News on camera, but Pastor Robert Smith calls what happened ""unfortunate"" and told CTV the event followed the rules for faith gatherings, which do not require proof of vaccination.

	He says parishioners did what 811 told them to when they learned of an exposure.

	""On Friday, Dr. Strang did reach out to faith-based leaders to clarify when proof of vaccine requirements are needed,"" Deeks said.

	Smith says 70 per cent of parishoners at the church are fully vaccinated, and the church is working with Nova Scotia Public Health.

	Health officials say the outbreak at East Cumberland Lodge is linked to a faith event.

	Seventeen residents at the home have tested positive, along with two employees. One resident is in hospital.

	""East Cumberland Lodge was one of the members who have had excellent uptake on their vaccinations,"" said Michele Lowe of Nursing Homes of Nova Scotia Association, the group representing care homes in the province.

	Lowe says all residents, and 96 per cent of staff at the lodge have their shots, but community spread, means heightened concern.

	""This is where, as a community, we need to support people to get tested through rapid testing,"" Lowe said.

	That is something the area's MLA says should have been happening here sooner.

	""Public health and government took away asymptomatic testing from us here,"" said Elizabeth Smith-McCrossin.

	And, she says, take-home test kits aren't widely available either.

	""Fully available in HRM, but not in rural Nova Scotia,"" Smith-McCrossin said.

	Public Health says 122 COVID-19 tests have been completed at the Amherst pop-up site since Monday.

"
Aaron Rodgers says he takes full responsibility for COVID-19 and vaccination comments ,"Nov. 10, 2021 10:33 a.m. CST","
     
    
	Green Bay Packers quarterback Aaron Rodgers reappeared on ""The Pat McAfee Show"" Tuesday and took ""full responsibility"" for his comments last week about his vaccination status and being ""in the crosshairs of the woke mob right now"" over his vaccination status.

	""I made some comments that people might have felt were misleading. And to anybody who felt misled by those comments, I take full responsibility for those comments,"" Rodgers said Tuesday.

	""I understand that this issue, in general, is very charging to a lot of people because we are talking about public health. I totally respect that,"" Rodgers said. ""I made a decision that was in the best interest based on consulting with my doctors. And I understand that not everybody is going to understand that necessarily. But I respect everybody's opinion.""

	Rodgers told McAfee he is feeling ""really good"" after testing positive for COVID-19 last week.
        RELATED STORIES
       Aaron Rodgers confirms he is unvaccinated, says he is 'disappointed' by mediaAaron Rodgers in COVID-19 protocol, NFL to review PackersHealth-care company cuts ties with Packers QB Aaron Rodgers

	Rodgers missed last Sunday's game against the Kansas City Chiefs due to COVID-19 protocols. The Chiefs defeated the Packers 13-7.

	During an interview on McAfee's show Friday, Rodgers confirmed he is unvaccinated against COVID-19 and is disappointed with the treatment he's been receiving in the media.

	Rodgers said the media was on a ""witch hunt"" to find out which players were vaccinated and blamed reporters for him saying he was ""immunized"" back in August. Rodgers said if any reporter would have asked a follow-up question, he would have explained he's ""not an anti-vax flat earther,"" but that he's a ""critical thinker.""

	Rogers added last week that he has been following the strict NFL protocols for unvaccinated players to a ""T."" Rodgers described the testing he is subjected to every day, even on off days, and believes the rules are in place to shame unvaccinated people. Rodgers said he was tested over 300 times before testing positive this week.

	He did not get vaccinated because he has an allergy to an ingredient in the Moderna and Pfizer vaccines and was scared about the possible side effects from the Johnson & Johnson vaccine, he said. The decision to seek alternative treatments was ""what was best for my body,"" he said.

	Rodgers is expected to play this Sunday at home versus the Seattle Seahawks.

"
"'This hasn't been an easy choice': Unvaccinated hospital worker explains her decision, braces for termination","Nov. 10, 2021 6:48 a.m. CST","
     
     Kitchener - 
     
    
	Krista Ruddy says she has enjoyed working as a medical lab assistant at Grand River Hospital for the past two years.

	But a month ago, the 39-year-old New Hamburg woman was placed on unpaid leave because she has chosen not to receive a COVID-19 vaccine.

	“They gave me options that I was completely compliant with. I did my education training, I did my testing twice weekly that they asked me to,” said Ruddy. “I complied with everything they asked me to.”

	In September, Waterloo Wellington hospitals issued a mandate, requiring all staff to be fully vaccinated against COVID-19 by Oct. 12 or be placed on unpaid leave.

	The new mandate was a joint initiative between Cambridge Memorial Hospital, Grand River Hospital, Groves Memorial Community Hospital, Guelph General Hospital, Homewood Health Centre, North Wellington Health Care Alliance and St. Mary’s General Hospital.

	Those who were unvaccinated had until Nov. 9 to comply with the mandate, or face disciplinary measures, including termination.

	Ruddy says she has a meeting scheduled with hospital management on November 18.

	“We got sent a letter stating that our job is in review. Here’s your date. Here’s your time. And that’s basically all we know,” said Ruddy.

	Ruddy said her decision not to get the COVID-19 vaccine was a personal one.

	“It’s still in trial. Like it’s in clinical trials. I’m too afraid to get something put into my body that I can’t get changed,” she explained.

	The Pfizer vaccine is one of the approved vaccines by Health Canada. In a press release issued a year ago, the pharmaceutical company concluded phase three of its study. According the company’s research, two doses of the Pfizer COVID-19 vaccine has a 95 per cent efficacy rate in fighting the deadly virus.

	The Moderna vaccine is another one approved by Health Canada. On Health Canada’s website it says clinical trials showed that 2 doses of the Moderna vaccine is 94.1 per cent effective in protecting those aged 18 and above against COVID-19. And 100 per cent effective for those 12 to 17 years-old.

	Health Canada also tracks reported side effects and says that about 4 people out of every 10,000 people vaccinated have reported one or more adverse side effect in Canada. The current tally is 22,231 Canadians. Of that, 16,578 are considered non-serious. While 5,663 are considered serious. 539 people to-date have experienced a serious adverse event that include a severe allergic reaction.

	Despite that, Ruddy remains steadfast in her views about the COVID-19 vaccine.

	“This hasn’t been an easy choice for me at all. I’m terrified. But I’m also terrified of the reactions that you could get from this vaccine.”

	The single mom of two says she loves her job very much, and is now preparing for the fact that she may not have it for much longer.

	“This is serious for all the people that are off right now.”

	“I have nothing against anyone who chose what they chose,” she said. “I chose to not get vaccinated and that was my choice. And I shouldn’t be scrutinized and I shouldn’t lose my livelihood and my job because of what I chose for myself and neither should anybody else.”

	In a news release announcing the mandate on Sept. 1, the president and chief executive officer of Grand River Hospital said the move was meant to help keep the community safe.

	“The COVID-19 vaccine is a vital measure of protection, particularly as more services continue to open up, and community spread continues to increase,” said Ron Gagnon. “As a health care organization, we have a responsibility to safeguard and protect the health and wellness of those we work with, and those we care for.”

	The president of St. Mary’s General Hospital and the hospital lead for the COVID response echoed that in the same release, and said protecting the health and safety of patients and staff was the priority.

	“Vaccines are an important tool in the COVID fight and in our response to the highly transmissible Delta variant—something that we have witnessed the impact of first-hand,” said Lee Fairclough. “It is our responsibility to implement every safety measure possible to protect our patients and teams.”

"
Unvaccinated health-care workers to get priority for Johnson & Johnson vaccines arriving in B.C. next week,"Nov. 10, 2021 11:01 a.m. CST","
     
     Vancouver - 
     
    
	Health-care workers will be given first priority for the Johnson & Johnson COVID-19 vaccine, which B.C. health officials say is expected to arrive by next week.

	In a COVID-19 briefing on Tuesday, Health Minister Adrian Dix and provincial health officer Dr. Bonnie Henry said the supply of the J&J vaccines will be limited.

	“It will be available first for any health-care worker who wants to use this as their way of getting back to work.”  B.C. adds 497 cases as Canada approves 1st COVID-19 vaccine for kidsFull coverage at CTVNews.ca/CoronavirusIs B.C. flooding affecting the province's COVID-19 numbers? Not yet, Health Ministry saysTracking every case of COVID-19 in CanadaFirst cases of Delta sublineage AY.4.2 confirmed in British ColumbiaCoronavirus vaccine tracker: How many people in Canada have received shots?COVID-19 vaccines for younger kids will likely arrive in B.C. before the holidays, province's top doctor saysGet The COVID-19 Brief sent to your inboxB.C. family plans to cross U.S. border to get COVID-19 vaccine for 8-year-old child'Like playing COVID test roulette': B.C. couple on free PCR testing in the U.S.

	B.C.’s COVID-19 vaccine mandate for health-care workers means that anyone who isn’t fully vaccinated against the virus is currently on unpaid leave. But, Henry says there are health-care workers who are still unvaccinated but have been waiting for the J&J vaccine to get immunized.

	“Some health care workers have said that this is the only option they will consider right now,” Henry said. “Our first priority will be offering it to health-care workers.”

	WHAT'S DIFFERENT ABOUT THE J&J VACCINE

	The J&J vaccine is considered a more traditional vaccine as it uses virus-based technology, as opposed to the Pfizer and Moderna vaccines which use mRNA.

	While the first couple of weeks administering the J&J vaccine will prioritize those in health care, Henry says there will be some available for others later on.

	“There have been a lot of people who've reached out to me asking for the J&J vaccine,” she said. “We will have some available and we will be providing you with the details next week of how you can access this through a central call-in number.”

	Among health-care workers, 97 per cent have received two doses of a COVID-19 vaccine and are considered fully vaccinated, according to Dix.

	Two per cent haven't had any shots, and the remaining one per cent have just the first dose.

	The incoming J&J vaccine is different from other vaccines currently available in B.C. because a person is considered fully vaccinated after just one dose.

	“It's been widely used in the U.S. as a single dose vaccine. And it has good, strong protection … the same as the two doses of AstraZeneca,” Henry said.

	Henry said the Johnson & Johnson vaccine has recently received approval from the U.S. CDC for the vaccine to be given as a booster shot six months after a person receives their primary dose. But, she noted, the company has not yet applied for approval of boosters in Canada. 

	HEALTH CANADA UPDATES SIDE EFFECTS

	Common side effects from the J&J vaccine are temporary and can last a few hours to a few days, according to Health Canada’s web page on the vaccine. 

	“This is the body's natural response, as it's working hard to build protection against the disease,” reads the Health Canada website.

	These side effects may include redness, soreness, swelling, chills, fatigue, joint pain, headache, muscle aches or a mild fever.

	On Nov. 9, Health Canada said it’s updating the labels on the J&J vaccines (also known as the Janssen COVID-19 Vaccine) to include warnings of very rare side effects.

	The move provides “additional information about the very rare risk of immune thrombocytopenia (ITP), an autoimmune condition, and the rare risk of venous thromboembolism (VTE) following vaccination,” reads a statement from the national health agency.

	As the vaccine is still new in Canada, the agency is also providing information on what kind of side effects to watch out for. Health Canada says to seek medical attention if, after receiving the J&J vaccine, you have unexplained bleeding or bruising, small purplish spots beyond the site of vaccination, shortness of breath, chest pain, leg pain or swelling, or persistent abdominal pain.

	Other rare side effects, for which people should also seek prompt medical attention, include swelling of the lips and mouth, itchy hives, sudden low blood pressure, vomiting and diarrhea or loss of consciousness.

	But, Health Canada urges that people not be deterred, because the vaccine is approved for use in Canada and is overall safe and effective against the coronavirus.

	“Our decisions are based only on scientific and medical evidence showing that vaccines are safe and effective. The benefits must also outweigh any risks,” reads the website. 

"
"University of Sask. student’s religion won’t allow for COVID-19 vaccine, leads to eviction from campus residence","Nov. 10, 2021 7:48 a.m. CST","
     
     SASKATOON - 
     
    
	Third-year University of Saskatchewan student Jimmy Ding, originally from China, has lived in Canada since 2014, and has been staying at St. Andrew’s College while pursuing a degree in geological engineering.

	He said his religion, which he prefers not to disclose, doesn’t allow him to receive a COVID-19 vaccine, and this has resulted in him being evicted from his campus residence. 

	""I just practice what my religion script tells me to do,"" Ding said, adding he’s providing proof of negative tests to the college. “Because my vaccination status, and they try to evict me. I feel it’s not very appropriate.""
        RELATED STORIES
       University of Sask. says 91 per cent of campus community now fully vaccinatedU of S will no longer accept negative COVID-19 test result in new year'Simply not the case': Sask. pandemic chief of staff says COVID-19 testing not a substitute for vaccinations'The time for patience is now over': Sask. premier announces masking order, vaccination rules

	""When the pandemic just started, and there were a lot of people they had some confusion that 'Oh, Chinese people they have a virus and they are dangerous,' it's not true.""

	Principal of St. Andrew’s College Richard Manley-Tannis said the living space at the college is communal with a shared kitchen and shared bathrooms, and because of the building’s age, it has no ventilation system.

	""It became clear that a significant amount of the current residents were not comfortable with having somebody unvaccinated, even with rapid testing in place, and owing to the context of the building,"" he said.

	Ding claims other residents at the college were only told that he wouldn’t receive the vaccine, and not the reason why he wouldn’t.

	""This is distorted information, to try to justify their discrimination,"" he said.

	Manley-Tannis explained it was not an easy decision to make, but it was about the safety of others and not a person’s race or religion. Ultimately, he said there wasn’t the physical space available to quarantine someone should they test positive for COVID-19.

	""In this COVID-world, the community's safety takes precedent,"" he said. ""It's very clear that educational institutions are exempt from eviction expectations, and likely for reasons exactly like that—because of the nature of our communal living context. We can't accommodate the way that we would like to.""

	""And let's be very clear, if St. Andrew’s had the physical capacity to offer this resident a space that honoured his request for religious accommodation, we would provide that.""

	Manley-Tannis said Ding must be out of the college before Nov. 19.

	Human rights commission response

	Ding said he’s been in contact with the Saskatchewan Human Rights Commission (SHRC) about his eviction. 

	""It says duty for the service provider to provide the accommodation for people who cannot give a proof of vaccine,"" he said. ""In order to balance this consideration and the safety issue, the Saskatchewan Human Rights Commission said negative COVID tests could be (an) alternative to solve this issue and balance both sides.""

	""I have the freedom of practice, of religious practice.""

	In a statement to CTV News, SHRC said some people may not be able to receive the COVID-19 vaccine due to a reason protected by the code.

	""However, these cases are rare and must be supported by evidence. Objection to vaccination based on personal preference is not protected by the code,"" SHRC said. 

	""Employers and service providers have a duty to reasonably accommodate individuals who cannot receive the vaccine due to a reason protected by the code, to the point of undue hardship.

	Accommodation does not have to be perfect nor does it have to be the individual’s preferred accommodation, but it must be reasonable. Reasonable accommodation will differ on a case-by-case basis,” SHRC said. 

	Finding another place to live

	Ding said the eviction letter on his record makes it harder for him to find a new place to live, and the process has been stressful as the weather gets colder.

	""I probably will live on the street, or I talk to my friend or if they could give me a place,"" Ding said. ""I have no clue, I really have no clue.""

	""I just wish people could be nice to a refugee.""

	Manley-Tannis said St. Andrew's College and the U of S have shared resources for alternative accommodations with Ding.

	""I am well aware that there is actually space or alternative space within the city,"" Manley-Tannis said.

	""I also understand that the University of Saskatchewan has reached out or is intending to reach out to explore on campus facilities that have that quarantine capacity or a room that has its own bathroom and a room that has its own kitchen, which the college does not and is not able to provide.""

	In a statement from Jay Wilson, interim vice-provost teaching, learning, and student experience with the university, said he would not provide specifics on individual situations for privacy reasons, but said ""students living in any USask residences are required to be fully vaccinated against COVID-19 with having received two doses of a WHO-approved COVID-19 vaccine a minimum of 14 days prior to moving in.""

	Uof S vaccination policy

	The university’s current COVID-19 policy requires anyone who’s accessing the campus to provide proof of vaccination or a negative COVID-19 test, and it will be changing to proof of double vaccination as the only way to access campus starting Jan. 4, 2022.

	Wilson said the university ""will continue to consider accommodation requests for these individuals in accordance with the requirements of the code. Only those with an approved accommodation, as appropriate and in limited circumstance, will be allowed on campus without being fully vaccinated.""

	Ding said he’s spoken with U of S president Peter Stoicheff, and under grounds protected by the Human Rights Code, will continue to provide negative COVID-19 test results to attend classes at the university in person passed Jan. 4.

	Manley-Tannis said St. Andrew’s College is an affiliated college and is completely autonomous, so it can operate under different guidelines, and providing a negative test isn’t enough to continue to live there.

	""If anything has become clear, it’s that rapid testing actually isn't 100% (effective). Rapid testing is a moment in time that doesn't actually tell you whether or not, as I understand the science, whether or not you're able to spread it at that stage,"" he said.

	""It's whether you're asymptomatic or symptomatic. And so rapid testing is helpful, but in a communal nature by the time that rapid test ends up displaying that you are positive you could have already been basically a carrier, and though asymptomatic, spreading the virus in a communal nature.""

	Ding argues since everyone else in the living space has been vaccinated they should be protected from infection, and encourages doctors and physicians to investigate other forms of immunity.

	""There are certain groups of people, they practice their religion, they’re doing meditation to improve their immune system,"" he said. ""Some people, based on their worldview have their method, some people they will take other methods.""

"
'Extorting and intimidating': Victoria business targeted after comparing anti-vaxxers to drunk drivers,"Nov. 10, 2021 5:56 a.m. CST","
     
     Victoria - 
     
    
	A Victoria business owner says his company has come under a ""sustained and coordinated attack"" by people opposed to COVID-19 vaccine mandates after the business barred anti-vaxxers from its premises, comparing them to drunk drivers.

	The owner of Victoria Escape Games says a ""vigilante mob"" has been targeting the business with negative online reviews in the wake of the management's request that those opposed to vaccines avoid the business.

	Victoria Escape Games says children under 12 and those with a medical exemption from being vaccinated are welcome at the business.
        RELATED STORIES
       9 new COVID-19 cases linked to outbreaks in NanaimoVancouver Island adds 76 new COVID-19 cases, 3 deaths

	""For those who have followed the science and been vaccinated, please rest assured that Victoria Escape Games remains a safe place for you, and an unwelcoming place for those who spread ignorance and disease to the communal detriment of all,"" the management said in a statement on the company's website.

	The message prompted a coordinated backlash among anti-vaxxers, with dozens of negative reviews popping up on Google within the past two days.

	""I got the first clue this was starting yesterday morning,"" owner Derek Madson told CTV News on Tuesday. ""It was a deluge. This is not just Google. It’s everything – many voicemails, text messages, emails.""

	Madson said the anti-vaccine group was organized on Telegram, an encrypted messaging app, and boasts more than 500 members. ""These groups are literally extorting and intimidating,"" Madson said.

	Many of the negative Google reviews took issue with the business owner's comparison of anti-vaxxers to drunk drivers. Madson maintains the analogy is appropriate.

	""The threat to life and health of anti-vaxx rhetoric is equivalent to drunk driving,"" Madson said, adding he believes a group like Mothers Against Drunk Driving should organize to combat the dangers of anti-vaccine beliefs.

	""Anti-vaxxers put themselves at risk but they also put everyone else around them at risk,"" Madson said. ""My argument from the beginning is that we start treating anti-vaxxers the same we treat drunk drivers.""

	The business owner said he has been in touch with Google about removing the recent reviews but it appears to be a losing battle.

	""They're organized, they're sustained,"" he said. ""Many of these people have said they're going to drive me out of business. That’s their goal.""

"
"Alberta reports 422 new COVID-19 cases, 8 deaths","Nov. 10, 2021 11:47 p.m. CST","
     
     EDMONTON - 
     
    
	Alberta reported 422 new cases of COVID-19 Tuesday as the number of active cases in the province decreased.

	There are 608 people hospitalized with the disease, 128 of whom are in intensive care, according to the province’s chief medical officer of health.

	""While we are headed in the right direction, I want to be clear that this is still a significant number of people in hospital, taxing our healthcare system,” said Dr. Deena Hinshaw.
        RELATED STORIES
       Alberta NDP Opposition wants immediate funding for daycare operators during COVID-19COVID-19 in Alberta: 13 deaths, 1.3K new cases over the weekendPandemic nearly shutters 3 Royal Canadian Legion branches in Alberta

	“We must all continue to support efforts to bring these numbers down even further.”

	Eight Albertans were reported to have died due to COVID-19 in the last 24 hours, according to Hinshaw. She added that after a review, four deaths that had previously been attributed to COVID-19 were deemed to have not been caused by the disease.

	There are active alerts or outbreaks in 211 Alberta schools, and 10 had 10 or more people with COVID-19 who were in the building, according to Hinshaw.

	

			A Flourish chart


	On Monday, Albertans will need their vaccination QR code or a negative test to enter businesses taking part in the Restrictions Exemption Program, Hinshaw added. Paper copies of vaccine records will not be accepted as of Nov. 15.

	
		Here's how Albertans can get their COVID-19 vaccine QR code


	First Nations and military vaccination records will still be accepted.

	Of Alberta’s eligible population, 87.6 per cent have received a single dose of a COVID-19 vaccine and 81.4 are fully vaccinated.

	

			A Flourish chart


	“In Alberta, the odds of being hospitalized with COVID-19 are approximately eight times higher if you’re only partially vaccinated and 10 times higher if you’re unvaccinated,” said Hinshaw.

	BOOSTER SHOTS

	Health Canada approved booster doses for the Pfizer vaccine for people 18 and older, which Hinshaw called “encouraging.”

	
		Canada authorizes Pfizer-BioNTech COVID-19 booster for adults


	Albertans who are deemed to have an increased risk of breakthrough COVID-19 infections are already eligible for boosters. Hinshaw said there is no specific timeline for when the general public would be able to get a third dose of vaccine.

	All Albertans living in continuing care facilities have had the opportunity to get a third dose of vaccine, added Hinshaw.

	NEW TREATMENT FOR COVID-19

	Hinshaw also announced a “new tool to help prevent severe outcomes for those at the highest risk.”

	Alberta Health Services began administering sotrovimab to patients at home who are 65 and older, have COVID-19, are unvaccinated and have consented to receive it.

	“Sotrovimab is a monoclonal antibody, a type of protein that attaches to the spike protein of the coronavirus (SARS-CoV-2) that causes COVID-19, and prevents the virus from entering and infecting healthy cells within your body,” according to the government of Canada website.

	The use of sotrovimab was authorized by Health Canada in July.

	It is intended to be used to treat people with mild to moderate COVID-19 symptoms.

	“The treatment is being rolled out across the province in a phased approach, starting with those with the highest risk of severe outcomes, like hospitalization,” said Hinshaw.

	“Let me stress that sotrovimab is not a replacement for COVID-19 vaccines… as vaccines are the most effective method to prevent serious outcomes from the disease.”

	In the update, Hinshaw also addressed “misinformation”, including a “rumor” that COVID-19 vaccines cause miscarriages.

	
		No, COVID-19 vaccines do not cause miscarriages


	“I want to assure Albertans that we continue to look at safety, including this particular question, in detail,” said Hinshaw. “There is no evidence that miscarriages or stillbirths have increased after COVID-19 vaccines have been made available.

	“In fact, evidence shows that there has been a slight, but steady, reduction in the number of miscarriages in Alberta, starting in 2019, prior to the COVID pandemic, and this has continued over the following two years.”

	Hinshaw also addressed concern over reports of a potential new variant in western Canada, which she called a sub lineage of the Delta variant.

	“It is not a different variant of concern, there’s no evidence that it causes more severe illness, that it evades vaccine protection, that it’s significantly different from the Delta variant that’s been circulating as the dominant strain in Alberta since late summer,” said Hinshaw.

	“We know that when viruses replicate, they can change their genetic slightly, so sometimes you have these sub lineages that evolve, but that doesn’t mean the behave differently from that parent strain and that’s the case with this particularly sub lineage.”

"
Windsor-Essex adds 17 new COVID-19 cases ,"Nov. 9, 2021 10:52 p.m. CST","
     
     Windsor, Ont.  - 
     
    
	The Windsor-Essex County Health Unit is reporting 17 new cases of COVID-19 and no new deaths on Tuesday.

	The death toll related to COVID-19 in the region remains at 466 people.

	Windsor-Essex has had a total of 20,722 confirmed cases of the virus, including 20,079 people who have recovered.
        RELATED STORIES
       61 new COVID-19 cases reported in Windsor-Essex over three daysSmall changes could put Ontario back on track as coronavirus case counts increase: Science Table chief

	The health unit says 177 cases are currently active, including 103 cases that are variants of concern (VOC).

	Windsor Regional Hospital is reporting six people with COVID in hospital – four are unvaccinated, two are vaccinated. There is one unvaccinated COVID patient in the WRH ICU.

	According to the Erie Shores Healthcare website, there are four unvaccinated COVID patients in the Leamington hospital.

	BREAKDOWN OF NEW CASES

	
		8 cases are close contacts of confirmed cases
	
		4 cases are community acquired
	
		5 cases are still under investigation


	OUTBREAKS IN WINDSOR-ESSEX

	
		5 workplaces
	
		0 long-term care or retirement homes
	
		4 community outbreaks
	
		4 school outbreaks


	WINDSOR-ESSEX COUNTY RESIDENTS VACCINATED

	
		326,534 WEC residents have received at least one dose of a vaccine
	
		14,945 WEC residents have only received 1 dose
	
		311,589 WEC residents have received both doses of a vaccine
	
		7,138 WEC residents have received a 3rd dose/booster shot of a vaccine. Please note: Third doses of an mRNA COVID-19 vaccine are available for prioritized populations. Further information is available at https://www.wechu.org/cv/clinics#third-dose.
	
		A total of 645,261 doses have been administered to WEC residents
	
		86.1% of WEC residents 12+ have received at least 1 dose
	
		82.1% of WEC residents 12+ are fully vaccinated.


"
'It could mean a change of employment': Deadline approaching for COVID-19 vaccinations at local hospitals ,"Nov. 9, 2021 7:38 a.m. CST","
     
     KITCHENER - 
     
    
	Time is running out for hospital staff in Waterloo Region who have yet to be fully vaccinated.

	Starting Nov. 9, local hospitals will be enforcing its double-vaccination policy, which will require anyone entering its facilities to show proof of a second dose along with a piece of government photo ID.

	“We're making the choice based on doing all that we can,” said Lee Fairclough, the president of St. Mary’s General Hospital and the regional hospital lead for the pandemic response.

	Fairclough said at St. Mary’s, more than 99 per cent of staff are now fully vaccinated or have one dose with a signed attestation that they will get their second as soon as they become eligible.

	“For those staff who have not complied with the policy, it could mean a change of employment status with us,” said Fairclough. “Close to 1,600 staff and close to 400 physicians [have been vaccinated] so it’s a very small number of staff impacted.”

	As of October, 27 staff members at St. Mary’s were unvaccinated and placed on unpaid leave. At Grand River Hospital, 171 staff were unvaccinated and Cambridge Memorial, 51 staff had chosen not to comply with the policy.

	Though the province is not mandating hospital workers get vaccinated, hospitals in Waterloo Region want to assure the community that they are taking every level of precaution for staff, patients and visitors.

	“The policy does have some exceptions like a confirmed medical exemption... for end of life and compassionate needs for patients, we will continue to accommodate those. Some people will come in with full PPE,” said Fairclough.

	While she does not anticipate any significant staffing shortages due to the vaccine mandate, the president of SEIU healthcare, Sharleen Stewart said while most of the union’s members are in support of the policy, hospitals are still losing staff.

	“Twenty times are leaving because of the working conditions and the lack of respect and protection they are receiving out of this pandemic,” said Stewart.

	She adds hospitals across Ontario can’t afford to lose any number of staff.

	“If people don’t show up, it’s going to have an effect on the services the hospital provides,” said Stewart.

"
